time_s,hbaro_m,hdot_1_mps,hralt_m,lon_rad,lat_rad,tas_mps,gs_mps,wow,chi_rad,flap_te_pos
0.0,227.076,-0.16256,0.0,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.115
1.0,227.076,-0.16256,0.0381,,,0.0,0.0,,0.0,
2.0,227.076,-0.24384,0.0381,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.116
3.0,227.076,0.08128,0.0381,,,0.0,0.0,,0.0,
4.0,227.3808,0.0,0.0381,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.115
5.0,227.076,-0.08128,0.0381,,,0.0,0.0,,0.0,
6.0,227.6856,0.4064,0.0,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.115
7.0,227.076,-0.16256,0.0381,,,0.0,0.0,,0.0,
8.0,227.076,-0.24384,0.0381,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.115
9.0,227.076,-0.08128,0.0,,,0.0,0.0,,0.0,
10.0,227.076,0.0,0.0,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.116
11.0,227.076,0.0,0.0,,,0.0,0.0,,0.0,
12.0,227.3808,0.0,0.0,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.116
13.0,227.076,-0.16256,0.0,,,0.0,0.0,,0.0,
14.0,227.076,-0.16256,0.0381,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.116
15.0,227.3808,0.08128,0.0381,,,0.0,0.0,,0.0,
16.0,227.076,0.0,0.0381,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.116
17.0,227.3808,-0.08128,0.0381,,,0.0,0.0,,0.0,
18.0,227.076,0.0,0.0381,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.116
19.0,227.3808,0.0,0.0,,,0.0,0.0,,0.0,
20.0,227.3808,-0.08128,0.0,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.115
21.0,227.076,-0.08128,0.0381,,,0.0,0.0,,0.0,
22.0,227.3808,0.08128,0.0381,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.116
23.0,227.076,-0.16256,0.0381,,,0.0,0.0,,0.0,
24.0,227.3808,0.08128,0.0,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.115
25.0,227.076,-0.32512,0.0381,,,0.0,0.0,,0.0,
26.0,227.076,-0.08128,0.0381,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.116
27.0,227.076,-0.08128,0.0,,,0.0,0.0,,0.0,
28.0,227.3808,0.0,0.0381,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.116
29.0,227.076,-0.08128,0.0381,,,0.0,0.0,,0.0,
30.0,226.7712,-0.24384,0.0381,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.115
31.0,227.076,-0.08128,0.0381,,,0.0,0.0,,0.0,
32.0,227.076,-0.16256,0.0381,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.116
33.0,226.7712,-0.16256,0.0381,,,0.0,0.0,,0.0,
34.0,227.3808,0.0,0.0,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.115
35.0,227.076,-0.08128,0.0381,,,0.0,0.0,,0.0,
36.0,227.3808,0.08128,0.0,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.115
37.0,227.3808,0.16256,0.0,,,0.0,0.0,,0.0,
38.0,227.3808,0.24384,0.0,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.115
39.0,227.3808,0.0,0.0381,,,0.0,0.0,,0.0,
40.0,227.076,-0.16256,0.0381,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.116
41.0,227.076,-0.16256,0.0381,,,0.0,0.0,,0.0,
42.0,227.3808,0.08128,0.0,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.116
43.0,227.076,-0.16256,0.0381,,,0.0,0.0,,0.0,
44.0,227.3808,0.0,0.0,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.115
45.0,227.076,-0.08128,0.0,,,0.0,0.0,,0.0,
46.0,227.076,0.0,0.0,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.115
47.0,227.076,0.08128,0.0,,,0.0,0.0,,0.0,
48.0,227.076,-0.08128,0.0381,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.116
49.0,227.076,-0.16256,0.0,,,0.0,0.0,,0.0,
50.0,227.076,0.0,0.0381,-1.62694011655389,0.783301267425199,0.0,0.0,0.0,0.0,0.115
51.0,227.076,0.0,0.0381,,,0.0,0.0,,0.0,
