time_s,hbaro_m,hdot_1_mps,hralt_m,lon_rad,lat_rad,tas_mps,gs_mps,wow,chi_rad,flap_te_pos
0.0,279.1968,-0.16256,-0.4191,-1.62663159897585,0.783355204532104,0.0,0.0,0.0,1.9416749644661,0.116
1.0,278.892,-0.16256,-0.381,,,0.0,0.0,,1.93966161381912,
2.0,279.1968,0.08128,-0.8001,-1.62663159897585,0.783355204532104,0.0,0.0,0.0,1.93793601785126,0.115
3.0,279.8064,0.24384,-0.4572,,,0.0,0.0,,1.94311307207108,
4.0,279.5016,0.0,-0.6096,-1.62663159897585,0.783355204532104,0.0,0.0,0.0,1.93908637077713,0.115
5.0,279.8064,0.0,-0.381,,,0.0,0.0,,1.92748603557129,
6.0,279.8064,-0.08128,-0.1143,-1.62663159897585,0.783355204532104,0.0,0.0,0.0,1.90744906873245,0.115
7.0,279.5016,-0.24384,-0.0381,,,0.0,0.0,,1.9042852320015,
8.0,279.5016,0.0,-0.0381,-1.62663159897585,0.783355204532104,0.0,0.0,0.0,1.86881297634354,0.116
9.0,279.5016,-0.08128,-0.0381,,,0.0,0.0,,1.85970522782822,
10.0,279.5016,0.08128,-0.0381,-1.62663159897585,0.783355204532104,0.0,0.0,0.0,1.85912998478622,0.116
11.0,279.5016,0.0,-0.0762,,,0.0,0.0,,1.8572126411377,
12.0,279.8064,0.24384,-0.1143,-1.62663159897585,0.783355204532104,0.0,0.0,0.0,1.85155621771622,0.115
13.0,279.8064,0.16256,-0.1524,,,0.0,0.0,,1.85193971307755,
14.0,279.1968,-0.32512,-0.1524,-1.62663159897585,0.783355204532104,0.0,0.0,0.0,1.84503706288986,0.116
15.0,279.1968,-0.4064,-0.0762,,,0.0,0.0,,1.84292783840256,
16.0,279.8064,0.16256,-0.0381,-1.62663159897585,0.783355204532104,0.0,0.0,0.0,1.83660029809876,0.116
17.0,279.5016,0.0,0.0,,,0.0,0.0,,1.8303687647934,
18.0,279.5016,0.0,0.0,-1.62663159897585,0.783355204532104,0.0,0.0,0.0,1.83554581901321,0.116
19.0,279.5016,0.0,0.0381,,,0.0,0.0,,1.82547933209457,
20.0,279.1968,0.0,0.0381,-1.62663159897585,0.783355204532104,0.0,0.0,0.0,1.81637158357925,0.116
21.0,279.8064,0.24384,0.0762,,,0.0,0.0,,1.81100278167877,
22.0,280.1112,0.32512,0.0381,-1.62663159897585,0.783355204532104,0.0,0.0,0.0,1.80620922282028,0.116
23.0,279.8064,-0.16256,0.0762,,,0.0,0.0,,1.8032372669281,
24.0,279.5016,-0.48768,0.0762,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.79518413065643,0.116
25.0,279.5016,-0.16256,0.0762,,,0.0,0.0,,1.78070758024063,
26.0,279.5016,0.08128,0.0762,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.7806117064003,0.115
27.0,279.1968,-0.16256,0.0762,,,0.0,0.0,,1.76134159712601,
28.0,279.5016,0.24384,0.0381,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.75808201971283,0.116
29.0,279.8064,0.24384,0.0,,,0.0,0.0,,1.75137111720581,
30.0,279.8064,-0.08128,0.0,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.75808201971283,0.116
31.0,279.8064,-0.08128,-0.1143,,,0.0,0.0,,1.75443894693832,
32.0,279.8064,0.08128,-0.1143,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.76843612815247,0.115
33.0,279.8064,-0.08128,-0.0762,,,0.0,0.0,,1.77006585028,
34.0,279.8064,-0.08128,-0.0762,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.76996997643967,0.116
35.0,279.8064,-0.16256,-0.0381,,,0.0,0.0,,1.77294206548996,
36.0,279.8064,-0.08128,0.0,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.78214568784561,0.116
37.0,279.8064,-0.08128,0.0,,,0.0,0.0,,1.77744800282745,
38.0,279.5016,-0.4064,0.0,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.78243330936661,0.116
39.0,279.8064,0.16256,0.0,,,0.0,0.0,,1.79326665384979,
40.0,279.5016,0.0,0.0,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.79767671734695,0.115
41.0,279.8064,-0.08128,0.0,,,0.0,0.0,,1.80592160129929,
42.0,279.5016,0.0,0.0,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.81387899688873,0.115
43.0,279.5016,-0.32512,0.0,,,0.0,0.0,,1.81838493422623,
44.0,279.5016,-0.16256,-0.0381,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.83803840570374,0.116
45.0,279.5016,0.0,-0.0381,,,0.0,0.0,,1.83199848692093,
46.0,279.8064,0.32512,-0.4572,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.84158560463791,0.116
47.0,279.8064,0.0,0.0762,,,0.0,0.0,,1.84014763019104,
48.0,279.8064,-0.16256,0.0,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.8300811432724,0.116
49.0,279.8064,0.0,0.0,,,0.0,0.0,,1.83084813399506,
50.0,279.8064,-0.16256,0.0,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.8261504489769,0.116
51.0,279.8064,0.0,0.0,,,0.0,0.0,,1.82576695361557,
52.0,279.8064,0.08128,-0.0762,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.81694682662125,0.116
53.0,279.8064,0.16256,-0.1143,,,0.0,0.0,,1.81723444814224,
54.0,279.8064,-0.08128,-0.1524,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.80179915932312,0.116
55.0,279.8064,-0.08128,-0.1143,,,0.0,0.0,,1.78971945491562,
56.0,279.8064,0.0,-0.0381,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.7576985243515,0.116
57.0,279.8064,0.0,-0.0381,,,0.0,0.0,,1.76210858784866,
58.0,279.5016,-0.24384,0.0,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.72826618747635,0.116
59.0,279.8064,-0.16256,0.0,,,0.0,0.0,,1.71676159295273,
60.0,279.5016,-0.24384,0.0,-1.62662892551331,0.783355204532104,0.0,0.0,0.0,1.7205964134079,0.116
61.0,279.8064,-0.48768,-0.0381,,,0.0,0.0,,1.7085167090004,
62.0,279.5016,-0.32512,0.0,-1.62662571735825,0.783352196886737,0.0,0.0,0.0,1.70554475310822,0.116
63.0,279.1968,-0.4064,0.0,,,0.0,0.0,,1.71551536618652,
64.0,279.8064,-0.16256,-0.0381,-1.62662571735825,0.783352196886737,0.0,0.0,0.0,1.70362727630157,0.116
65.0,279.5016,-0.08128,-0.0762,,,0.0,0.0,,1.7124474032959,
66.0,279.5016,-0.08128,-0.1143,-1.62662571735825,0.783352196886737,0.0,0.0,0.0,1.70305203325958,0.116
67.0,279.1968,-0.56896,-0.1524,,,0.0,0.0,,1.69499889698792,
68.0,279.1968,-0.24384,-0.1524,-1.62662571735825,0.783352196886737,0.0,0.0,0.0,1.70238104953537,0.116
69.0,279.8064,0.24384,-0.1524,,,0.0,0.0,,1.70209342801437,
70.0,279.1968,-0.16256,-0.1524,-1.62662571735825,0.783352196886737,0.0,0.0,0.0,1.71800795287704,0.116
71.0,279.5016,0.08128,-0.1524,,,0.0,0.0,,1.72002130352402,
72.0,279.1968,-0.32512,-0.1524,-1.62662571735825,0.783352196886737,0.0,0.0,0.0,1.72701982755203,0.116
73.0,279.5016,0.08128,-0.1524,,,0.0,0.0,,1.74839902815552,
74.0,279.8064,0.16256,-0.1524,-1.62662571735825,0.783352196886737,0.0,0.0,0.0,1.75942425347748,0.116
75.0,279.5016,-0.16256,-0.1524,,,0.0,0.0,,1.76479305537796,
76.0,279.5016,0.0,-0.1143,-1.62662571735825,0.783352196886737,0.0,0.0,0.0,1.77917359879532,0.116
77.0,279.5016,0.08128,-0.0762,,,0.0,0.0,,1.80103216860046,
