time_s,hbaro_m,hdot_1_mps,hralt_m,lon_rad,lat_rad,tas_mps,gs_mps,wow,chi_rad,flap_te_pos
0.0,244.7544,-0.08128,0.0,-1.62658080318744,0.78329531897103,0.0,0.0,0.0,0.215422094347191,0.116
1.0,245.0592,0.08128,0.0,,,0.0,0.0,,0.275245589724636,
2.0,244.7544,0.0,0.0,-1.62658080318744,0.78329531897103,0.0,0.0,0.0,0.309088040031242,0.116
3.0,244.4496,-0.16256,-0.0381,,,0.0,0.0,,0.383196321499062,
4.0,244.7544,0.08128,-0.0381,-1.62658080318744,0.78329531897103,0.0,0.0,0.0,0.429214366698265,0.116
5.0,244.7544,0.08128,-0.1143,,,0.0,0.0,,0.484915403454781,
6.0,244.7544,0.0,-0.1143,-1.62657759503239,0.78329531897103,0.0,0.0,0.0,0.501213490257835,0.116
7.0,244.7544,0.0,-0.0762,,,0.0,0.0,,0.50830792141571,
8.0,244.7544,-0.08128,-0.0381,-1.62657759503239,0.78329531897103,0.0,0.0,0.0,0.516265217136574,0.116
9.0,244.7544,-0.24384,0.0,,,0.0,0.0,,0.514443680749321,
10.0,245.0592,0.08128,0.0,-1.62657759503239,0.78329531897103,0.0,0.0,0.0,0.517319796090698,0.116
11.0,244.4496,-0.24384,0.0,,,0.0,0.0,,0.527194502039146,
12.0,244.4496,-0.24384,0.0,-1.62657438687733,0.78329531897103,0.0,0.0,0.0,0.531029355783844,0.116
13.0,244.7544,-0.08128,-0.0381,,,0.0,0.0,,0.536877493596459,
14.0,244.7544,0.16256,-0.0381,-1.62657438687733,0.78329531897103,0.0,0.0,0.0,0.538890777664375,0.116
15.0,244.7544,-0.08128,0.0,,,0.0,0.0,,0.524030765176773,
16.0,244.7544,0.08128,-0.0381,-1.62657438687733,0.78329531897103,0.0,0.0,0.0,0.505815301435661,0.117
17.0,244.7544,0.0,-0.0381,,,0.0,0.0,,0.484627815223312,
18.0,244.4496,-0.24384,-0.0762,-1.62657438687733,0.78329531897103,0.0,0.0,0.0,0.476478771821785,0.116
19.0,244.7544,-0.16256,-0.1143,,,0.0,0.0,,0.46928843353405,
20.0,244.4496,-0.16256,-0.1143,-1.62657438687733,0.78329531897103,0.0,0.0,0.0,0.475040697506332,0.116
21.0,244.4496,-0.24384,-0.0762,,,0.0,0.0,,0.477629224616242,
22.0,244.7544,0.0,-0.0381,-1.62657438687733,0.78329531897103,0.0,0.0,0.0,0.475424192867661,0.117
23.0,244.4496,-0.16256,-0.0762,,,0.0,0.0,,0.462289876216507,
24.0,244.7544,-0.08128,-0.0762,-1.62657438687733,0.78329531897103,0.0,0.0,0.0,0.454811916407776,0.116
25.0,244.7544,0.0,-0.0762,,,0.0,0.0,,0.432186389169502,
26.0,244.4496,-0.08128,0.0,-1.62657438687733,0.78329531897103,0.0,0.0,0.0,0.418668577157021,0.116
27.0,244.1448,-0.32512,0.0,,,0.0,0.0,,0.402945733395958,
28.0,244.4496,0.08128,0.0,-1.62657438687733,0.78329531897103,0.0,0.0,0.0,0.394892563834763,0.117
29.0,244.4496,-0.16256,0.0,,,0.0,0.0,,0.397960426856804,
30.0,244.4496,-0.08128,-0.0762,-1.62657438687733,0.78329531897103,0.0,0.0,0.0,0.408122754326248,0.116
31.0,244.4496,-0.08128,-0.0381,,,0.0,0.0,,0.409656702482033,
32.0,244.4496,-0.32512,-0.0381,-1.62657438687733,0.783298326616396,0.0,0.0,0.0,0.402370490353966,0.116
33.0,244.4496,0.0,-0.1143,,,0.0,0.0,,0.394413194633102,
34.0,244.4496,-0.16256,-0.0762,-1.62657438687733,0.783298326616396,0.0,0.0,0.0,0.387606384996223,0.116
35.0,244.1448,-0.24384,-0.0381,,,0.0,0.0,,0.380416046708488,
36.0,244.4496,0.0,-0.0762,-1.62657438687733,0.783298326616396,0.0,0.0,0.0,0.376005983211327,0.116
37.0,244.4496,0.08128,-0.0762,,,0.0,0.0,,0.37351332994175,
38.0,244.1448,-0.16256,-0.0762,-1.62657438687733,0.783298326616396,0.0,0.0,0.0,0.36488495062809,0.116
39.0,244.4496,-0.08128,-0.1143,,,0.0,0.0,,0.386839394273567,
40.0,244.4496,-0.08128,-0.1143,-1.62657438687733,0.783298326616396,0.0,0.0,0.0,0.404192060030746,0.116
41.0,244.1448,-0.32512,-0.0762,,,0.0,0.0,,0.434583135309219,
42.0,244.1448,-0.08128,-0.0381,-1.62657438687733,0.783298326616396,0.0,0.0,0.0,0.462960959809303,0.116
43.0,244.1448,-0.32512,0.0,,,0.0,0.0,,0.493064446856308,
44.0,244.4496,-0.08128,0.0,-1.62657438687733,0.783298326616396,0.0,0.0,0.0,0.518470248885155,0.116
45.0,244.1448,-0.16256,-0.0381,,,0.0,0.0,,0.538986651504707,
46.0,244.4496,0.08128,-0.0762,-1.62657438687733,0.783298326616396,0.0,0.0,0.0,0.550682893840408,0.116
47.0,244.1448,0.24384,-0.1143,,,0.0,0.0,,0.556243410132027,
48.0,244.4496,0.08128,-0.0762,-1.62657438687733,0.783298326616396,0.0,0.0,0.0,0.554134252223778,0.116
49.0,244.4496,-0.16256,-0.0381,,,0.0,0.0,,0.547231535457039,
50.0,244.1448,-0.32512,0.0,-1.62657438687733,0.783298326616396,0.0,0.0,0.0,0.546368704183579,0.115
51.0,243.84,-0.32512,0.0,,,0.0,0.0,,0.545793494431114,
52.0,244.1448,-0.16256,-0.0381,-1.62657438687733,0.783298326616396,0.0,0.0,0.0,0.560557633078384,0.116
53.0,244.1448,0.0,-0.0381,,,0.0,0.0,,0.599577087670517,
54.0,244.1448,-0.24384,0.0,-1.62657438687733,0.783298326616396,0.0,0.0,0.0,0.634570040705872,0.116
55.0,244.1448,-0.08128,0.0,,,0.0,0.0,,0.654511200283432,
56.0,244.1448,-0.08128,-0.1143,-1.62657171341478,0.783298326616396,0.0,0.0,0.0,0.67339774761734,0.116
