time_s,hbaro_m,hdot_1_mps,hralt_m,lon_rad,lat_rad,tas_mps,gs_mps,wow,chi_rad,flap_te_pos
0.0,134.4168,0.32512,0.0762,-1.45503219718062,0.736715580998096,0.0,0.0,0.0,-2.11414681540896,0.115
1.0,134.4168,0.24384,0.0762,,,0.0,0.0,,-1.86708738572756,
2.0,134.7216,0.24384,0.0,-1.45503219718062,0.736715580998096,0.0,0.0,0.0,-1.58043312525393,0.115
3.0,134.4168,-0.24384,-0.2286,,,0.0,0.0,,-1.41361756992632,
4.0,134.4168,-0.24384,-0.1905,-1.45503219718062,0.736715580998096,0.0,0.0,0.0,-1.3474666174689,0.115
5.0,134.4168,-0.24384,-0.0762,,,0.0,0.0,,-1.30854303671709,
6.0,134.4168,0.08128,0.0,-1.45503219718062,0.736715580998096,0.0,0.0,0.0,-1.28237027725512,0.115
7.0,134.4168,0.0,0.1143,,,0.0,0.0,,-1.26137443885485,
8.0,134.112,-0.24384,-0.1524,-1.45503219718062,0.736715580998096,0.0,0.0,0.0,-1.2440218063872,0.115
9.0,134.4168,-0.08128,-0.4191,,,0.0,0.0,,-1.23261321886202,
10.0,134.4168,0.16256,-0.6096,-1.45503540533568,0.736718588643462,0.0,0.0,0.0,-1.2237930918677,0.116
11.0,134.4168,0.0,-0.6477,,,0.0,0.0,,-1.21458946951205,
12.0,134.112,-0.24384,-0.762,-1.45503540533568,0.736718588643462,0.0,0.0,0.0,-1.2168903085219,0.115
13.0,134.4168,0.08128,-0.3429,,,0.0,0.0,,-1.21478121719271,
14.0,134.112,-0.32512,-0.2286,-1.45503540533568,0.736718588643462,0.0,0.0,0.0,-1.20423536107241,0.115
15.0,134.7216,0.24384,-0.1524,,,0.0,0.0,,-1.19081342290026,
16.0,134.4168,0.08128,-0.1143,-1.45503540533568,0.736718588643462,0.0,0.0,0.0,-1.1701053391791,0.116
17.0,133.8072,-0.4064,-0.4572,,,0.0,0.0,,-1.14834264321429,
18.0,134.112,-0.16256,-0.5334,-1.45503540533568,0.736718588643462,0.0,0.0,0.0,-1.14076874298617,0.116
19.0,134.4168,0.4064,-0.2286,,,0.0,0.0,,-1.12964777698199,
20.0,134.112,-0.32512,-0.4191,-1.45503540533568,0.736718588643462,0.0,0.0,0.0,-1.12983952466265,0.116
21.0,133.8072,-0.24384,-0.3048,,,0.0,0.0,,-1.12744267865435,
22.0,134.112,0.08128,-0.381,-1.45503861349074,0.736718588643462,0.0,0.0,0.0,-1.128784912419,0.115
23.0,134.112,-0.16256,-0.1524,,,0.0,0.0,,-1.12610057804781,
24.0,134.112,-0.24384,-0.3048,-1.45503861349074,0.736718588643462,0.0,0.0,0.0,-1.12801792169634,0.116
25.0,134.112,0.08128,-0.1905,,,0.0,0.0,,-1.12907253394,
