time_s,hbaro_m,hdot_1_mps,hralt_m,lon_rad,lat_rad,tas_mps,gs_mps,wow,chi_rad,flap_te_pos
0.0,247.8024,0.0,0.5715,-1.62690696561829,0.78339417024874,0.0,0.0,0.0,1.93908637077713,0.116
1.0,247.4976,0.0,0.6096,,,0.0,0.0,,1.84752964958038,
2.0,248.1072,0.16256,0.6096,-1.62690696561829,0.78339417024874,0.0,0.0,0.0,1.77255857012863,0.116
3.0,247.4976,-0.24384,0.6477,,,0.0,0.0,,1.71426900626221,
4.0,247.8024,0.08128,0.6477,-1.62690696561829,0.78339417024874,0.0,0.0,0.0,1.68109758961411,0.116
5.0,248.1072,0.0,0.6477,,,0.0,0.0,,1.65166525273895,
6.0,247.8024,-0.16256,0.6858,-1.62690696561829,0.78339417024874,0.0,0.0,0.0,1.63344975570831,0.116
7.0,247.4976,-0.16256,0.6477,,,0.0,0.0,,1.61398789875336,
8.0,247.8024,0.16256,0.6858,-1.62690696561829,0.78339417024874,0.0,0.0,0.0,1.59759400468903,0.115
9.0,247.8024,0.16256,0.6096,,,0.0,0.0,,1.58858213001404,
10.0,247.8024,-0.08128,0.381,-1.62690696561829,0.78339417024874,0.0,0.0,0.0,1.57228410979004,0.116
11.0,247.4976,-0.08128,0.1524,,,0.0,0.0,,1.57084600218506,
12.0,247.8024,-0.16256,0.0,-1.62690696561829,0.78339417024874,0.0,0.0,0.0,1.56164237982941,0.115
13.0,247.8024,-0.08128,-0.0762,,,0.0,0.0,,1.56106713678741,
14.0,247.4976,-0.16256,-0.1905,-1.62690696561829,0.78339417024874,0.0,0.0,0.0,1.55042553998489,0.116
15.0,247.8024,-0.08128,-0.3048,,,0.0,0.0,,1.54649471253128,
16.0,247.8024,0.0,-0.4191,-1.62690696561829,0.78339417024874,0.0,0.0,0.0,1.54256401823578,0.116
17.0,247.8024,-0.08128,-0.4572,,,0.0,0.0,,1.5290462062233,
18.0,247.4976,0.0,-0.0762,-1.62690696561829,0.78339417024874,0.0,0.0,0.0,1.52137656531296,0.116
19.0,247.8024,0.0,0.2286,,,0.0,0.0,,1.50546204045029,
