time_s,hbaro_m,hdot_1_mps,hralt_m,lon_rad,lat_rad,tas_mps,gs_mps,wow,chi_rad,flap_te_pos
0.0,241.4016,-0.08128,0.0,-1.62690108400069,0.783304275070565,0.0,0.0,0.0,2.70241111746368,0.116
1.0,241.4016,-0.24384,-0.3048,,,0.0,0.0,,2.70030189297638,
2.0,241.4016,-0.24384,-0.3048,-1.62690108400069,0.783304275070565,0.0,0.0,0.0,2.70269873898468,0.116
3.0,241.0968,-0.16256,-0.0381,,,0.0,0.0,,2.6900439246933,
4.0,241.0968,-0.24384,0.0,-1.62690108400069,0.783304275070565,0.0,0.0,0.0,2.69531671959534,0.116
5.0,241.0968,0.0,0.0381,,,0.0,0.0,,2.67336214279175,
6.0,241.4016,0.65024,-0.3048,-1.62690108400069,0.783304275070565,0.0,0.0,0.0,2.6846749896347,0.116
7.0,241.4016,0.0,-0.8763,,,0.0,0.0,,2.67901869937134,
8.0,241.4016,-0.08128,-0.8763,-1.62690108400069,0.783304275070565,0.0,0.0,0.0,2.68064855465698,0.116
9.0,241.4016,-0.08128,-0.9144,,,0.0,0.0,,2.68103205001831,
10.0,241.0968,-0.24384,-0.381,-1.62690108400069,0.783304275070565,0.0,0.0,0.0,2.68016918545532,0.116
11.0,241.0968,-0.16256,-0.4572,,,0.0,0.0,,2.67844345632935,
12.0,241.0968,-0.4064,-0.8763,-1.62690108400069,0.783304275070565,0.0,0.0,0.0,2.67853933016968,0.116
13.0,241.0968,-0.4064,-0.9144,,,0.0,0.0,,2.67700534872437,
14.0,240.792,-0.65024,-0.9525,-1.62690108400069,0.783304275070565,0.0,0.0,0.0,2.67652597952271,0.117
15.0,240.792,0.0,-0.9906,,,0.0,0.0,,2.67595073648071,
16.0,241.4016,0.32512,-1.0668,-1.62690108400069,0.783304275070565,0.0,0.0,0.0,2.67767646560669,0.116
17.0,240.792,-0.48768,-0.9906,,,0.0,0.0,,2.67393738583374,
18.0,241.0968,0.56896,-0.9144,-1.62690108400069,0.783304275070565,0.0,0.0,0.0,2.67317039511108,0.116
19.0,240.4872,-0.4064,-0.9906,,,0.0,0.0,,2.67508787191772,
20.0,241.4016,0.56896,-0.9906,-1.62690108400069,0.783304275070565,0.0,0.0,0.0,2.67297864743042,0.116
21.0,241.7064,0.56896,-1.0287,,,0.0,0.0,,2.67345801663208,
22.0,241.0968,-0.56896,-1.0287,-1.62690108400069,0.783304275070565,0.0,0.0,0.0,2.67211604918365,0.116
23.0,241.0968,-0.24384,-1.0668,,,0.0,0.0,,2.67288303990631,
24.0,241.0968,0.32512,-1.0668,-1.62690108400069,0.783304275070565,0.0,0.0,0.0,2.67010269853668,0.116
25.0,241.0968,-0.32512,-0.9144,,,0.0,0.0,,2.67077381541901,
