time_s,hbaro_m,hdot_1_mps,hralt_m,lon_rad,lat_rad,tas_mps,gs_mps,wow,chi_rad,flap_te_pos
0.0,405.0792,0.08128,0.0381,-1.70344445551854,0.617727181847409,0.0,0.0,0.0,-2.91927135805727,0.115
1.0,404.7744,-0.08128,0.1905,,,0.0,0.0,,-2.91428591836001,
2.0,405.0792,0.32512,0.5334,-1.70344445551854,0.617727181847409,0.0,0.0,0.0,-2.89031825722567,0.116
3.0,404.7744,-0.08128,0.7239,,,0.0,0.0,,-2.86941829266573,
4.0,405.0792,0.16256,0.9144,-1.70344445551854,0.617727181847409,0.0,0.0,0.0,-2.86778870369631,0.116
5.0,404.7744,0.08128,1.2192,,,0.0,0.0,,-2.85120306195132,
6.0,404.7744,0.08128,0.3048,-1.70344445551854,0.617727181847409,0.0,0.0,0.0,-2.8346171538901,0.115
7.0,404.7744,-0.24384,0.1524,,,0.0,0.0,,-2.82991960203005,
8.0,404.7744,-0.24384,0.1524,-1.70344445551854,0.617727181847409,0.0,0.0,0.0,-2.80106237503878,0.116
9.0,405.0792,0.16256,0.1524,,,0.0,0.0,,-2.78342212105013,
10.0,404.7744,0.0,0.1143,-1.70344445551854,0.617727181847409,0.0,0.0,0.0,-2.74890860379549,0.116
11.0,404.7744,-0.08128,0.1143,,,0.0,0.0,,-2.70998488988558,
12.0,404.7744,0.0,0.0762,-1.70344445551854,0.617724174202043,0.0,0.0,0.0,-2.67297865278231,0.116
13.0,404.7744,0.0,0.0,,,0.0,0.0,,-2.64661414563967,
14.0,404.7744,-0.08128,0.0,-1.70344766367359,0.617724174202043,0.0,0.0,0.0,-2.61104601614138,0.116
15.0,404.7744,-0.24384,0.0381,,,0.0,0.0,,-2.58170968626467,
16.0,405.0792,0.08128,0.0,-1.70344766367359,0.617724174202043,0.0,0.0,0.0,-2.54825051493746,0.116
17.0,405.0792,0.16256,0.0,,,0.0,0.0,,-2.5070260951758,
18.0,404.7744,-0.16256,0.0381,-1.70344766367359,0.617724174202043,0.0,0.0,0.0,-2.46839000278689,0.115
19.0,405.0792,0.0,0.0381,,,0.0,0.0,,-2.42735733070589,
20.0,405.0792,-0.08128,0.1143,-1.70344766367359,0.617724174202043,0.0,0.0,0.0,-2.39399429953524,0.115
