time_s,hbaro_m,hdot_1_mps,hralt_m,lon_rad,lat_rad,tas_mps,gs_mps,wow,chi_rad,flap_te_pos
0.0,250.5456,0.0,0.0,-1.62691605539096,0.783346248432568,0.0,0.0,0.0,0.496324057559013,0.116
1.0,250.2408,-0.16256,0.0,,,0.0,0.0,,0.49699514115181,
2.0,250.8504,0.24384,0.0,-1.62691605539096,0.783346248432568,0.0,0.0,0.0,0.500350625694847,0.116
3.0,250.8504,0.16256,-0.0762,,,0.0,0.0,,0.498049753395462,
4.0,250.8504,0.16256,0.0,-1.62691605539096,0.783346248432568,0.0,0.0,0.0,0.49833734162693,0.116
5.0,250.5456,-0.24384,0.0381,,,0.0,0.0,,0.504568974800873,
6.0,250.5456,-0.16256,0.1143,-1.62691605539096,0.783346248432568,0.0,0.0,0.0,0.51223864900074,0.116
7.0,250.5456,0.08128,0.9144,,,0.0,0.0,,0.515977595615578,
8.0,250.5456,-0.08128,1.0668,-1.62691605539096,0.783346248432568,0.0,0.0,0.0,0.519620701679611,0.116
9.0,250.5456,0.08128,0.5334,,,0.0,0.0,,0.522784438541985,
10.0,250.5456,-0.16256,-0.6858,-1.62691605539096,0.783346248432568,0.0,0.0,0.0,0.521058775995064,0.115
11.0,250.2408,-0.08128,0.6858,,,0.0,0.0,,0.525852334853554,
12.0,250.5456,0.16256,-0.9144,-1.62691605539096,0.783346248432568,0.0,0.0,0.0,0.520675280633736,0.115
13.0,250.5456,0.16256,0.6096,,,0.0,0.0,,0.523839017496109,
14.0,250.5456,-0.08128,0.1143,-1.62691605539096,0.783346248432568,0.0,0.0,0.0,0.521538111907196,0.116
15.0,250.2408,-0.32512,0.0381,,,0.0,0.0,,0.51607346945591,
16.0,250.5456,0.0,0.0,-1.62691605539096,0.783346248432568,0.0,0.0,0.0,0.510704700844955,0.116
17.0,250.5456,0.08128,0.0,,,0.0,0.0,,0.513676723316193,
18.0,250.2408,-0.16256,0.0,-1.62691605539096,0.783346248432568,0.0,0.0,0.0,0.508403795256043,0.115
19.0,250.5456,-0.08128,-0.3429,,,0.0,0.0,,0.509362500369835,
20.0,250.5456,0.24384,-0.9906,-1.62691605539096,0.783346248432568,0.0,0.0,0.0,0.505144184553337,0.115
21.0,250.5456,0.08128,-0.6477,,,0.0,0.0,,0.50658225886879,
22.0,250.5456,0.08128,-0.4191,-1.62691605539096,0.783346248432568,0.0,0.0,0.0,0.50792445934391,0.115
23.0,250.2408,-0.24384,-0.8001,,,0.0,0.0,,0.502076321531296,
24.0,250.2408,-0.16256,-0.1524,-1.62691605539096,0.783349256077934,0.0,0.0,0.0,0.507540963982582,0.116
25.0,250.5456,-0.08128,-0.1143,,,0.0,0.0,,0.504856563032341,
26.0,250.5456,0.24384,-0.0762,-1.62691605539096,0.783349256077934,0.0,0.0,0.0,0.506869880389786,0.115
27.0,250.5456,0.08128,-0.0762,,,0.0,0.0,,0.515785881224442,
28.0,250.2408,-0.16256,-0.0762,-1.62691338192841,0.783349256077934,0.0,0.0,0.0,0.503418522006416,0.115
29.0,250.5456,0.08128,0.0,,,0.0,0.0,,0.508595542936707,
30.0,250.2408,-0.16256,0.0,-1.62691338192841,0.783349256077934,0.0,0.0,0.0,0.504856563032341,0.115
31.0,250.5456,0.08128,-0.0381,,,0.0,0.0,,0.510608827004623,
32.0,251.1552,0.32512,-0.0762,-1.62691338192841,0.783349256077934,0.0,0.0,0.0,0.505431806074333,0.116
