time_s,hbaro_m,hdot_1_mps,hralt_m,lon_rad,lat_rad,tas_mps,gs_mps,wow,chi_rad,flap_te_pos
0.0,268.8336,-0.24384,-0.2286,-1.62668239476427,0.783361219822836,0.0,0.0,0.0,0.47360262319088,0.116
1.0,268.8336,-0.08128,-0.0762,,,0.0,0.0,,0.481751666592407,
2.0,268.8336,0.08128,-0.0762,-1.62668239476427,0.783361219822836,0.0,0.0,0.0,0.484340193702316,0.116
3.0,268.8336,0.0,-0.0762,,,0.0,0.0,,0.484627815223312,
4.0,268.8336,0.08128,-0.0762,-1.62668239476427,0.783364227468203,0.0,0.0,0.0,0.488270887997818,0.116
5.0,269.1384,0.08128,-0.0381,,,0.0,0.0,,0.490667667427063,
6.0,269.1384,0.08128,-0.0381,-1.62668239476427,0.783364227468203,0.0,0.0,0.0,0.498720836988258,0.116
7.0,269.1384,0.0,0.0,,,0.0,0.0,,0.489325466951943,
8.0,269.1384,0.16256,-0.5334,-1.62668239476427,0.783364227468203,0.0,0.0,0.0,0.495557100125885,0.116
9.0,268.5288,-0.32512,-0.8382,,,0.0,0.0,,0.491147036628723,
10.0,269.1384,0.0,-0.3048,-1.62668239476427,0.783364227468203,0.0,0.0,0.0,0.489900709993935,0.116
11.0,269.1384,0.0,0.0,,,0.0,0.0,,0.490955288948059,
12.0,269.1384,0.0,0.0381,-1.62668239476427,0.783364227468203,0.0,0.0,0.0,0.491434624860191,0.116
13.0,268.8336,-0.16256,0.0762,,,0.0,0.0,,0.490955288948059,
14.0,269.1384,0.08128,0.0381,-1.62668239476427,0.783364227468203,0.0,0.0,0.0,0.484723689063644,0.116
15.0,269.1384,-0.08128,0.0762,,,0.0,0.0,,0.494694268852425,
16.0,269.1384,0.08128,0.0762,-1.62668239476427,0.783364227468203,0.0,0.0,0.0,0.488462635678482,0.116
17.0,269.1384,0.16256,0.1143,,,0.0,0.0,,0.493064446856308,
18.0,269.4432,0.0,0.1143,-1.62668239476427,0.783364227468203,0.0,0.0,0.0,0.499871289782715,0.116
19.0,268.8336,-0.65024,0.0762,,,0.0,0.0,,0.499391920581055,
20.0,268.8336,-0.16256,-0.3048,-1.62668239476427,0.783364227468203,0.0,0.0,0.0,0.495844721646881,0.116
21.0,269.1384,0.08128,-0.1524,,,0.0,0.0,,0.494119025810432,
22.0,268.8336,-0.24384,-0.1143,-1.62668239476427,0.783364227468203,0.0,0.0,0.0,0.489325466951943,0.115
23.0,269.1384,0.0,0.0,,,0.0,0.0,,0.489037878720474,
24.0,269.1384,0.08128,0.0,-1.62668239476427,0.783364227468203,0.0,0.0,0.0,0.493064446856308,0.115
25.0,269.1384,0.16256,0.0,,,0.0,0.0,,0.485394772656441,
26.0,268.8336,0.0,-0.2286,-1.62668239476427,0.783367235113569,0.0,0.0,0.0,0.490955288948059,0.116
27.0,268.8336,-0.16256,-0.2667,,,0.0,0.0,,0.483477362428856,
28.0,269.1384,-0.08128,-0.1524,-1.62668239476427,0.783367235113569,0.0,0.0,0.0,0.483860824500656,0.116
29.0,268.8336,-0.32512,-0.381,,,0.0,0.0,,0.483285614748192,
30.0,268.8336,-0.16256,-0.4191,-1.62668239476427,0.783367235113569,0.0,0.0,0.0,0.484148446021652,0.116
31.0,268.8336,0.0,-0.3429,,,0.0,0.0,,0.485969982408905,
32.0,268.8336,-0.24384,-0.0381,-1.62668239476427,0.783367235113569,0.0,0.0,0.0,0.487120435203362,0.116
33.0,268.8336,-0.24384,0.0381,,,0.0,0.0,,0.490859415107727,
34.0,268.8336,0.0,0.0762,-1.62668239476427,0.783367235113569,0.0,0.0,0.0,0.492585077654648,0.116
35.0,269.1384,0.24384,0.0762,,,0.0,0.0,,0.502555690732956,
36.0,268.8336,-0.24384,0.1143,-1.62668239476427,0.783367235113569,0.0,0.0,0.0,0.501405237938499,0.116
37.0,268.8336,0.0,0.1143,,,0.0,0.0,,0.50265153128376,
38.0,268.8336,0.08128,0.1143,-1.62668239476427,0.783367235113569,0.0,0.0,0.0,0.4940231519701,0.115
