time_s,hbaro_m,hdot_1_mps,hralt_m,lon_rad,lat_rad,tas_mps,gs_mps,wow,chi_rad,flap_te_pos
0.0,236.8296,-0.16256,-0.2667,-1.45490066282326,0.73674258296983,0.0,0.0,0.0,-1.08765623333956,0.116
1.0,236.8296,-0.32512,-0.2286,,,0.0,0.0,,-1.08573888969103,
2.0,236.5248,-0.48768,-0.1143,-1.45490387097832,0.73674258296983,0.0,0.0,0.0,-1.0835337913634,0.116
3.0,236.5248,-0.24384,-0.1143,,,0.0,0.0,,-1.08506777280871,
4.0,237.1344,0.08128,-0.0762,-1.45490387097832,0.73674258296983,0.0,0.0,0.0,-1.08823147638155,0.115
5.0,236.8296,-0.16256,-0.1143,,,0.0,0.0,,-1.0859306373717,
6.0,237.1344,0.24384,-0.1905,-1.45490387097832,0.73674258296983,0.0,0.0,0.0,-1.08372553904406,0.115
7.0,236.8296,-0.24384,-0.1143,,,0.0,0.0,,-1.07893198018557,
8.0,236.8296,-0.16256,0.0,-1.45490387097832,0.73674258296983,0.0,0.0,0.0,-1.07854848482424,0.116
9.0,236.8296,0.0,0.0,,,0.0,0.0,,-1.07653526733538,
10.0,236.8296,0.08128,-0.1524,-1.45490387097832,0.73674258296983,0.0,0.0,0.0,-1.07164583463656,0.115
11.0,236.8296,-0.32512,-0.3048,,,0.0,0.0,,-1.07365905212542,
12.0,236.8296,0.0,-0.1905,-1.45490387097832,0.73674258296983,0.0,0.0,0.0,-1.07097471775423,0.115
13.0,236.5248,-0.24384,0.0,,,0.0,0.0,,-1.06704402345873,
14.0,236.5248,-0.16256,0.0,-1.45490387097832,0.73674258296983,0.0,0.0,0.0,-1.06733164497973,0.116
15.0,236.8296,0.08128,0.0762,,,0.0,0.0,,-1.06675640193774,
16.0,236.5248,-0.48768,-0.3048,-1.45490387097832,0.73674258296983,0.0,0.0,0.0,-1.06320920300356,0.115
17.0,236.5248,0.16256,-0.1143,,,0.0,0.0,,-1.06215459075991,
18.0,236.8296,0.0,-0.3048,-1.45490654444087,0.73674258296983,0.0,0.0,0.0,-1.06148347387759,0.115
19.0,236.8296,0.0,-0.3048,,,0.0,0.0,,-1.05822389646441,
20.0,236.22,-0.48768,-0.2667,-1.45490654444087,0.736745523778633,0.0,0.0,0.0,-1.06196284307925,0.116
21.0,236.8296,0.32512,0.0,,,0.0,0.0,,-1.05975787790972,
22.0,236.8296,0.08128,-0.0381,-1.45490654444087,0.736745523778633,0.0,0.0,0.0,-1.05870326566607,0.116
23.0,236.5248,-0.32512,0.0,,,0.0,0.0,,-1.06225046460024,
24.0,236.8296,-0.24384,0.0,-1.45490654444087,0.736745523778633,0.0,0.0,0.0,-1.06934486246859,0.116
25.0,236.8296,0.24384,0.0,,,0.0,0.0,,-1.06761926650073,
26.0,236.8296,0.08128,0.0,-1.45490654444087,0.736745523778633,0.0,0.0,0.0,-1.06752339266039,0.115
27.0,236.8296,0.16256,0.0,,,0.0,0.0,,-1.07375492596575,
28.0,236.8296,-0.08128,-0.0381,-1.45490654444087,0.736745523778633,0.0,0.0,0.0,-1.07308394224154,0.116
29.0,236.8296,0.08128,-0.0381,,,0.0,0.0,,-1.07365905212542,
30.0,236.5248,-0.16256,0.0,-1.45490654444087,0.736745523778633,0.0,0.0,0.0,-1.07979484474856,0.115
31.0,236.5248,-0.24384,-0.1524,,,0.0,0.0,,-1.08247917911974,
32.0,236.5248,0.0,-0.1905,-1.45490654444087,0.736745523778633,0.0,0.0,0.0,-1.08391728672472,0.115
33.0,236.5248,-0.16256,-0.1524,,,0.0,0.0,,-1.09964019706484,
34.0,236.5248,0.0,-0.1524,-1.45490654444087,0.736745523778633,0.0,0.0,0.0,-1.11133640611102,0.115
35.0,236.8296,0.0,-0.1143,,,0.0,0.0,,-1.12408722740084,
36.0,236.5248,-0.24384,-0.1143,-1.45490654444087,0.736745523778633,0.0,0.0,0.0,-1.14172748138949,0.116
37.0,236.8296,0.0,-0.1143,,,0.0,0.0,,-1.12696330945269,
38.0,237.1344,0.24384,-0.0762,-1.45490975259593,0.736745523778633,0.0,0.0,0.0,-1.11632171265017,0.115
39.0,237.1344,0.16256,0.0,,,0.0,0.0,,-1.11210339683367,
40.0,237.1344,0.16256,0.0381,-1.45490975259593,0.736745523778633,0.0,0.0,0.0,-1.10098229767138,0.116
41.0,236.5248,-0.24384,0.0762,,,0.0,0.0,,-1.09197042299639,
42.0,236.8296,0.0,0.0762,-1.45490975259593,0.736745523778633,0.0,0.0,0.0,-1.09283328755938,0.116
43.0,236.8296,0.0,0.0762,,,0.0,0.0,,-1.09829796330019,
44.0,236.8296,0.0,-0.0762,-1.45490975259593,0.736745523778633,0.0,0.0,0.0,-1.10366676520068,0.116
45.0,237.1344,0.16256,-0.4191,,,0.0,0.0,,-1.11171990147234,
46.0,236.8296,-0.24384,-0.5334,-1.45490975259593,0.736745523778633,0.0,0.0,0.0,-1.12082764998766,0.116
47.0,236.8296,0.16256,-0.6096,,,0.0,0.0,,-1.11948541622302,
48.0,236.8296,-0.24384,-0.4953,-1.45490975259593,0.736745523778633,0.0,0.0,0.0,-1.11708870337283,0.115
49.0,236.5248,-0.24384,-0.381,,,0.0,0.0,,-1.11804730861803,
50.0,236.8296,-0.24384,-0.381,-1.45490975259593,0.736745523778633,0.0,0.0,0.0,-1.11526710040652,0.116
51.0,236.5248,-0.4064,-0.4191,,,0.0,0.0,,-1.13463308352114,
52.0,236.5248,-0.24384,-0.4953,-1.45490975259593,0.736745523778633,0.0,0.0,0.0,-1.13856377781664,0.116
53.0,236.8296,0.08128,-0.6096,,,0.0,0.0,,-1.17672036784579,
54.0,236.8296,0.16256,-0.4953,-1.45490975259593,0.736745523778633,0.0,0.0,0.0,-1.19397712647311,0.115
55.0,236.8296,0.16256,-0.1905,,,0.0,0.0,,-1.23098336357638,
56.0,236.8296,-0.16256,-0.1905,-1.45490654444087,0.736745523778633,0.0,0.0,0.0,-1.30480409010226,0.116
57.0,237.1344,0.08128,-0.1524,,,0.0,0.0,,-1.41285057920367,
58.0,236.8296,-0.24384,-0.1143,-1.45490654444087,0.736745523778633,0.0,0.0,0.0,-1.65463721398302,0.116
59.0,236.8296,0.0,-0.1143,,,0.0,0.0,,-2.16745107273623,
60.0,237.1344,0.08128,-0.1143,-1.45490654444087,0.736745523778633,0.0,0.0,0.0,-2.55937161409975,0.116
61.0,236.8296,-0.16256,-0.0762,,,0.0,0.0,,-2.72714577467257,
62.0,237.1344,0.0,-0.0762,-1.45490654444087,0.736745523778633,0.0,0.0,0.0,-1.87552401736056,0.116
63.0,236.8296,-0.08128,-0.0762,,,0.0,0.0,,-2.03840887839266,
64.0,236.8296,-0.08128,-0.0762,-1.45490654444087,0.736745523778633,0.0,0.0,0.0,-2.13360867236391,0.115
65.0,236.8296,0.08128,-0.0381,,,0.0,0.0,,-2.03294406949374,
66.0,237.1344,0.0,-0.0381,-1.45490387097832,0.736745523778633,0.0,0.0,0.0,-2.07503135381838,0.115
67.0,237.1344,0.08128,-0.0381,,,0.0,0.0,,-2.0276712745917,
68.0,236.8296,-0.24384,-0.0381,-1.45490387097832,0.736745523778633,0.0,0.0,0.0,-2.06525275473696,0.116
69.0,236.8296,0.0,-0.0381,,,0.0,0.0,,-2.06832045131136,
70.0,236.8296,-0.16256,0.0,-1.45490387097832,0.736745523778633,0.0,0.0,0.0,-2.03783363535067,0.116
71.0,236.8296,0.08128,0.0,,,0.0,0.0,,-2.06199304416567,
72.0,236.8296,0.0,0.0,-1.45490066282326,0.736745523778633,0.0,0.0,0.0,-2.00092327208773,0.116
