time_s,hbaro_m,hdot_1_mps,hralt_m,lon_rad,lat_rad,tas_mps,gs_mps,wow,chi_rad,flap_te_pos
0.0,179.2224,0.08128,-0.6858,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.0892204158713,0.115
1.0,179.2224,0.0,-0.6858,,,0.0,0.0,,-2.07186778340365,
2.0,179.2224,-0.08128,-0.6477,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.0889327943503,0.115
3.0,179.5272,0.08128,-0.6858,,,0.0,0.0,,-2.10427207617098,
4.0,179.2224,-0.08128,-0.6477,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.12728126521822,0.116
5.0,179.2224,-0.08128,-0.6477,,,0.0,0.0,,-2.08663182218234,
6.0,179.832,0.32512,-0.6858,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.09919102894961,0.116
7.0,179.2224,-0.08128,-0.6858,,,0.0,0.0,,-2.08806992978732,
8.0,179.5272,0.24384,-0.6858,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.10753178674227,0.116
9.0,180.1368,0.73152,-0.6477,,,0.0,0.0,,-2.09324685084902,
10.0,179.832,0.0,-0.6477,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.08787818210665,0.116
11.0,180.1368,-0.16256,-0.6858,,,0.0,0.0,,-2.09458908461367,
12.0,179.5272,-0.48768,-0.6477,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.10571018377596,0.116
13.0,179.5272,-0.4064,-0.6477,,,0.0,0.0,,-2.11194171708132,
14.0,179.5272,-0.48768,-0.6477,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.10340921160799,0.116
15.0,179.5272,0.24384,-0.6477,,,0.0,0.0,,-2.1058060576163,
16.0,179.832,0.24384,-0.6477,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.1163519137366,0.115
17.0,179.2224,-0.32512,-0.6477,,,0.0,0.0,,-2.09756117366396,
18.0,179.5272,-0.16256,-0.6096,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.13734775213686,0.116
19.0,179.5272,0.08128,-0.5334,,,0.0,0.0,,-2.05010495428072,
20.0,179.5272,-0.24384,-0.1905,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.05710374462496,0.116
21.0,179.5272,-0.16256,-0.1143,,,0.0,0.0,,-2.07493574629427,
22.0,179.5272,-0.16256,-0.1143,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.15000256642825,0.116
23.0,179.5272,-0.08128,-0.0762,,,0.0,0.0,,-2.12104946559664,
24.0,179.5272,0.16256,-0.1143,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.10839465130526,0.116
25.0,179.5272,0.0,-0.0762,,,0.0,0.0,,-2.10973688506991,
26.0,179.2224,-0.16256,-0.0762,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.11548904917361,0.115
27.0,179.2224,-0.4064,-0.0762,,,0.0,0.0,,-2.11405094156863,
28.0,179.2224,-0.16256,-0.0762,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.12459679768893,0.115
29.0,178.9176,-0.4064,-0.0762,,,0.0,0.0,,-2.12191233015963,
30.0,179.2224,-0.08128,-0.0762,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.11855701206423,0.115
31.0,179.2224,0.24384,-0.0762,,,0.0,0.0,,-2.1160642922156,
32.0,179.2224,0.16256,-0.0762,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.12104946559664,0.115
33.0,179.2224,-0.08128,-0.0762,,,0.0,0.0,,-2.12363805928561,
34.0,179.2224,-0.08128,-0.0762,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.12057009639498,0.116
35.0,179.2224,0.08128,-0.0762,,,0.0,0.0,,-2.12498029305026,
36.0,179.2224,0.08128,-0.0762,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.13073245715395,0.115
37.0,179.5272,0.16256,-0.0762,,,0.0,0.0,,-2.12325456392428,
38.0,179.2224,0.0,-0.0762,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.12191233015963,0.115
39.0,179.2224,-0.08128,-0.0762,,,0.0,0.0,,-2.12296694240328,
40.0,179.2224,0.08128,-0.0762,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.13082833099429,0.116
41.0,179.2224,0.08128,-0.0762,,,0.0,0.0,,-2.13188294323794,
42.0,179.2224,0.0,-0.0381,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.12057009639498,0.116
43.0,179.5272,-0.08128,-0.0762,,,0.0,0.0,,-2.13082833099429,
44.0,179.5272,0.0,-0.0381,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.1320746909186,0.116
45.0,179.832,0.24384,-0.0762,,,0.0,0.0,,-2.14204530399691,
46.0,179.5272,0.08128,-0.0762,-1.45479586309138,0.736748531423999,0.0,0.0,0.0,-2.13610139221255,0.116
47.0,179.5272,0.16256,-0.0762,,,0.0,0.0,,-2.13437566308657,
48.0,179.5272,-0.08128,-0.0762,-1.45479586309138,0.736751539069366,0.0,0.0,0.0,-2.08835755130831,0.115
49.0,179.5272,0.08128,-0.0381,,,0.0,0.0,,-2.16898505418154,
50.0,179.832,0.08128,-0.0381,-1.45479586309138,0.736751539069366,0.0,0.0,0.0,-2.11146234787966,0.115
51.0,179.2224,-0.16256,0.0,,,0.0,0.0,,-2.13964845798861,
52.0,179.5272,0.0,0.0,-1.45479586309138,0.736751539069366,0.0,0.0,0.0,-2.15671346893527,0.116
53.0,179.5272,0.16256,0.0381,,,0.0,0.0,,-2.10408032849032,
54.0,179.2224,-0.24384,-0.1905,-1.45479586309138,0.736751539069366,0.0,0.0,0.0,-2.05672024926363,0.116
55.0,179.2224,-0.08128,-0.381,,,0.0,0.0,,-2.1242133023276,
56.0,179.5272,0.16256,-0.381,-1.45479853655393,0.736751539069366,0.0,0.0,0.0,-2.13370454620425,0.116
57.0,179.5272,0.16256,-0.381,,,0.0,0.0,,-2.1429081685599,
58.0,179.5272,0.16256,-0.381,-1.45479853655393,0.736751539069366,0.0,0.0,0.0,-2.14971494490725,0.115
59.0,179.5272,-0.08128,-0.381,,,0.0,0.0,,-2.15211179091555,
60.0,179.2224,-0.24384,-0.4191,-1.45479853655393,0.736751539069366,0.0,0.0,0.0,-2.14434627616488,0.116
61.0,179.5272,-0.08128,-0.4191,,,0.0,0.0,,-2.14377103312289,
62.0,179.5272,0.08128,-0.4191,-1.45479853655393,0.736751539069366,0.0,0.0,0.0,-2.14549676224886,0.116
63.0,179.5272,0.0,-0.4191,,,0.0,0.0,,-2.15594647821261,
64.0,179.5272,0.0,-0.4191,-1.45479853655393,0.736751539069366,0.0,0.0,0.0,-2.15470038460452,0.116
65.0,179.5272,0.0,-0.4191,,,0.0,0.0,,-2.15795982885958,
66.0,179.5272,-0.08128,-0.4191,-1.45479853655393,0.736751539069366,0.0,0.0,0.0,-2.16102779175021,0.116
67.0,179.2224,-0.16256,-0.4191,,,0.0,0.0,,-2.1453050145682,
68.0,179.5272,0.16256,-0.4572,-1.45479853655393,0.736751539069366,0.0,0.0,0.0,-2.16083604406954,0.116
