time_s,hbaro_m,hdot_1_mps,hralt_m,lon_rad,lat_rad,tas_mps,gs_mps,wow,chi_rad,flap_te_pos
0.0,211.836,0.0,0.0381,-1.62660432965786,0.783277339935395,0.0,0.0,0.0,-1.17998007841708,0.115
1.0,211.5312,-0.32512,0.0762,,,0.0,0.0,,-1.18074693598162,
2.0,211.836,0.08128,0.0381,-1.62660432965786,0.783274332290028,0.0,0.0,0.0,-1.2355851747542,0.116
3.0,211.836,0.08128,0.0381,,,0.0,0.0,,-1.2545676625075,
4.0,211.836,0.0,0.0381,-1.62660432965786,0.783274332290028,0.0,0.0,0.0,-1.2524584380202,0.116
5.0,211.836,-0.16256,0.0381,,,0.0,0.0,,-1.25092458973299,
6.0,211.836,0.08128,0.0381,-1.62660432965786,0.783274332290028,0.0,0.0,0.0,-1.21880778532855,0.116
7.0,211.836,0.16256,0.0381,,,0.0,0.0,,-1.20279725346743,
8.0,211.836,-0.08128,0.0381,-1.62660432965786,0.783274332290028,0.0,0.0,0.0,-1.12859316473834,0.116
9.0,211.5312,-0.32512,0.0,,,0.0,0.0,,-0.840692610919442,
10.0,211.836,-0.08128,0.0381,-1.62660432965786,0.783274332290028,0.0,0.0,0.0,-0.703501273305764,0.116
11.0,211.836,0.16256,0.0381,,,0.0,0.0,,-0.606383935948815,
12.0,211.5312,-0.08128,0.0762,-1.62660432965786,0.783274332290028,0.0,0.0,0.0,-0.408985624241127,0.116
13.0,211.836,0.08128,0.1143,,,0.0,0.0,,-0.157899493265786,
14.0,212.1408,0.16256,0.0762,-1.62660432965786,0.783274332290028,0.0,0.0,0.0,0.0695064619676113,0.116
15.0,211.836,0.08128,0.0762,,,0.0,0.0,,0.193755255577946,
16.0,211.836,-0.32512,0.0762,-1.62660432965786,0.783277339935395,0.0,0.0,0.0,0.267575898880005,0.116
17.0,211.836,-0.16256,0.0762,,,0.0,0.0,,0.299692669994926,
18.0,211.836,-0.08128,0.1143,-1.62660432965786,0.783277339935395,0.0,0.0,0.0,0.310717828737831,0.116
19.0,211.5312,-0.16256,0.1143,,,0.0,0.0,,0.323181061796188,
20.0,211.5312,-0.08128,0.1143,-1.62660432965786,0.783277339935395,0.0,0.0,0.0,0.332576431832504,0.116
21.0,211.5312,-0.16256,0.0762,,,0.0,0.0,,0.335644294854546,
22.0,211.836,-0.08128,0.0762,-1.62660432965786,0.783277339935395,0.0,0.0,0.0,0.344656169529533,0.116
23.0,211.836,-0.08128,0.0381,,,0.0,0.0,,0.357886360021019,
