time_s,hbaro_m,hdot_1_mps,hralt_m,lon_rad,lat_rad,tas_mps,gs_mps,wow,chi_rad,flap_te_pos
0.0,64.9224,-0.16256,-0.3429,-1.57038675919957,0.611639172933218,0.0,0.0,0.0,-0.222708278537621,0.115
1.0,65.2272,0.4064,-0.3429,,,0.0,0.0,,-0.227214215875115,
2.0,65.2272,0.16256,-0.3048,-1.57038675919957,0.611639172933218,0.0,0.0,0.0,-0.22577617484919,0.116
3.0,64.9224,-0.24384,-0.3429,,,0.0,0.0,,-0.226447258441986,
4.0,64.9224,0.0,-0.3429,-1.57038675919957,0.611639172933218,0.0,0.0,0.0,-0.226926627643647,0.116
5.0,65.532,0.4064,-0.3429,,,0.0,0.0,,-0.229802742985024,
6.0,65.2272,-0.32512,-0.3429,-1.57038675919957,0.611639172933218,0.0,0.0,0.0,-0.22184544726416,0.115
7.0,65.532,0.0,-0.3048,,,0.0,0.0,,-0.228652290190567,
8.0,65.532,0.08128,-0.3048,-1.57038675919957,0.611639172933218,0.0,0.0,0.0,-0.22443397437407,0.116
9.0,65.532,-0.08128,-0.3048,,,0.0,0.0,,-0.227022468194451,
10.0,65.2272,-0.08128,-0.3429,-1.57038675919957,0.611639172933218,0.0,0.0,0.0,-0.225680301008858,0.116
11.0,64.9224,-0.73152,-0.3048,,,0.0,0.0,,-0.226734879962982,
12.0,65.532,0.48768,-0.3048,-1.57038675919957,0.611639172933218,0.0,0.0,0.0,-0.22663900612265,0.116
13.0,65.2272,0.0,-0.3429,,,0.0,0.0,,-0.224529848214402,
14.0,65.532,0.08128,-0.3048,-1.57038675919957,0.611639172933218,0.0,0.0,0.0,-0.226063763080658,0.115
15.0,65.2272,0.0,-0.3048,,,0.0,0.0,,-0.22961099530436,
16.0,65.532,0.24384,-0.3048,-1.57038675919957,0.611639172933218,0.0,0.0,0.0,-0.224721595895066,0.116
17.0,65.532,0.48768,-0.3429,,,0.0,0.0,,-0.224721595895066,
18.0,65.2272,-0.32512,-0.3048,-1.57038675919957,0.611639172933218,0.0,0.0,0.0,-0.199124046185555,0.115
19.0,65.2272,-0.16256,-0.3048,,,0.0,0.0,,-0.216956047854866,
20.0,65.2272,-0.08128,-0.3048,-1.57038675919957,0.611639172933218,0.0,0.0,0.0,-0.140738608478798,0.116
21.0,65.2272,-0.24384,-0.3048,,,0.0,0.0,,-0.0821614397361415,
22.0,65.2272,-0.08128,-0.3048,-1.57038675919957,0.611642180578584,0.0,0.0,0.0,0.0814903341466904,0.116
23.0,65.2272,0.08128,-0.2667,,,0.0,0.0,,0.276108420998097,
24.0,64.9224,-0.4064,-0.1905,-1.57038355104451,0.611642180578584,0.0,0.0,0.0,0.511567532118416,0.115
25.0,64.9224,-0.24384,-0.1143,,,0.0,0.0,,1.04307622381439,
26.0,64.9224,-0.16256,-0.0381,-1.57038355104451,0.611642180578584,0.0,0.0,0.0,1.49472443664932,0.116
27.0,64.9224,-0.08128,0.0,,,0.0,0.0,,1.76019124420013,
28.0,65.2272,-0.08128,0.0,-1.57038355104451,0.611642180578584,0.0,0.0,0.0,1.88952119322281,0.115
29.0,64.9224,-0.08128,0.0381,,,0.0,0.0,,1.96468402035522,
30.0,65.2272,0.0,0.0762,-1.57038355104451,0.611642180578584,0.0,0.0,0.0,2.01539968399353,0.115
31.0,65.532,0.08128,0.0762,,,0.0,0.0,,2.05336465950012,
32.0,65.2272,-0.08128,0.1143,-1.57038355104451,0.611639172933218,0.0,0.0,0.0,2.05556962466965,0.115
33.0,65.2272,0.0,0.0762,,,0.0,0.0,,2.07809931135712,
34.0,65.532,0.16256,0.0762,-1.57038034288946,0.611639172933218,0.0,0.0,0.0,2.09804053751373,0.115
35.0,64.9224,-0.16256,0.0762,,,0.0,0.0,,2.10858626047592,
36.0,65.532,-0.16256,0.0762,-1.57038034288946,0.611639172933218,0.0,0.0,0.0,2.1226793155304,0.114
37.0,65.532,0.16256,0.1143,,,0.0,0.0,,2.11683127758636,
38.0,65.532,0.16256,0.1143,-1.57038034288946,0.611639172933218,0.0,0.0,0.0,2.09698592527008,0.115
39.0,65.8368,0.56896,0.1524,,,0.0,0.0,,2.06793708375626,
40.0,66.1416,0.4064,0.1524,-1.57037766942691,0.611639172933218,0.0,0.0,0.0,2.12363805393372,0.116
41.0,66.1416,0.0,0.1143,,,0.0,0.0,,2.12498028769836,
42.0,65.532,-0.56896,0.1143,-1.57037766942691,0.611639172933218,0.0,0.0,0.0,2.15211178556366,0.115
43.0,65.8368,-0.08128,0.1143,,,0.0,0.0,,2.18106475323715,
44.0,65.532,-0.16256,0.0762,-1.57037766942691,0.611639172933218,0.0,0.0,0.0,2.18355747308579,0.116
45.0,65.532,0.08128,0.1143,,,0.0,0.0,,2.21596176585312,
46.0,65.2272,-0.16256,0.1143,-1.57037766942691,0.611639172933218,0.0,0.0,0.0,2.21883798106308,0.116
47.0,65.8368,0.4064,0.1143,,,0.0,0.0,,2.23666984957428,
48.0,65.8368,-0.24384,0.0762,-1.57037766942691,0.611639172933218,0.0,0.0,0.0,2.24903730866089,0.116
49.0,66.4464,0.4064,0.0762,,,0.0,0.0,,2.25756981413422,
50.0,66.1416,0.08128,0.0762,-1.57037766942691,0.611639172933218,0.0,0.0,0.0,2.26629406728821,0.116
51.0,66.1416,0.16256,0.1143,,,0.0,0.0,,2.27003314706116,
52.0,66.4464,0.24384,0.1143,-1.57037766942691,0.611639172933218,0.0,0.0,0.0,2.26725280569153,0.115
53.0,65.8368,-0.32512,0.1143,,,0.0,0.0,,2.26207588462982,
54.0,65.8368,-0.16256,0.1143,-1.57037766942691,0.611639172933218,0.0,0.0,0.0,2.25268051459351,0.115
55.0,65.8368,-0.16256,0.1143,,,0.0,0.0,,2.25833680485687,
56.0,65.8368,-0.32512,0.1143,-1.57037766942691,0.611639172933218,0.0,0.0,0.0,2.24731157953491,0.115
57.0,65.8368,-0.16256,0.1143,,,0.0,0.0,,2.25469359892426,
58.0,65.8368,0.0,0.0762,-1.57037766942691,0.611639172933218,0.0,0.0,0.0,2.25143415466919,0.116
59.0,65.2272,-0.32512,0.0762,,,0.0,0.0,,2.25431010356293,
60.0,65.532,-0.24384,0.0762,-1.57037766942691,0.611639172933218,0.0,0.0,0.0,2.26102127238617,0.115
61.0,65.532,-0.08128,0.0381,,,0.0,0.0,,2.25277638843384,
62.0,65.8368,0.24384,0.0,-1.57037766942691,0.611639172933218,0.0,0.0,0.0,2.26303435671692,0.116
63.0,65.8368,0.0,0.0381,,,0.0,0.0,,2.24664046265259,
64.0,65.532,-0.08128,0.0381,-1.57037766942691,0.611639172933218,0.0,0.0,0.0,2.24625696729126,0.116
65.0,65.532,0.0,0.0381,,,0.0,0.0,,2.23034244242859,
66.0,65.532,-0.16256,0.0,-1.57037766942691,0.611639172933218,0.0,0.0,0.0,2.21193519771729,0.116
67.0,65.532,0.08128,0.0,,,0.0,0.0,,2.21011372790909,
68.0,65.532,0.0,0.0,-1.57037766942691,0.611639172933218,0.0,0.0,0.0,2.18691292433929,0.116
69.0,65.8368,0.24384,0.0381,,,0.0,0.0,,2.18959725871048,
70.0,65.8368,0.0,0.0762,-1.57037766942691,0.611636165287851,0.0,0.0,0.0,2.17761342814331,0.116
