time_s,hbaro_m,hdot_1_mps,hralt_m,lon_rad,lat_rad,tas_mps,gs_mps,wow,chi_rad,flap_te_pos
0.0,64.9224,0.08128,-0.2286,-1.57041670198011,0.61160923015268,0.0,0.0,0.0,1.9724495351059,0.116
1.0,64.3128,-0.4064,-0.1143,,,0.0,0.0,,1.94407167731628,
2.0,64.6176,-0.16256,-0.1524,-1.57041670198011,0.61160923015268,0.0,0.0,0.0,1.92413058431778,0.116
3.0,64.6176,0.08128,-0.1524,,,0.0,0.0,,1.9037099889595,
4.0,64.9224,0.4064,-0.0762,-1.57041670198011,0.61160923015268,0.0,0.0,0.0,1.87945470630417,0.116
5.0,64.6176,-0.16256,-0.0762,,,0.0,0.0,,1.86066396623154,
6.0,64.9224,-0.08128,-0.0381,-1.57041670198011,0.61160923015268,0.0,0.0,0.0,1.8273966757431,0.116
7.0,64.9224,-0.16256,-0.0381,,,0.0,0.0,,1.80946893339157,
8.0,64.9224,0.08128,0.0,-1.57041670198011,0.61160923015268,0.0,0.0,0.0,1.79029469795761,0.116
9.0,64.6176,-0.24384,-0.0762,,,0.0,0.0,,1.74427658617935,
10.0,64.6176,-0.32512,-0.1524,-1.57041670198011,0.61160923015268,0.0,0.0,0.0,1.7266363321907,0.116
11.0,64.3128,-0.32512,-0.3048,,,0.0,0.0,,1.69365666322327,
12.0,64.6176,-0.08128,-0.6096,-1.57041670198011,0.61160923015268,0.0,0.0,0.0,1.66010188437195,0.116
13.0,64.6176,0.48768,-0.762,,,0.0,0.0,,1.64351624262695,
14.0,64.3128,-0.56896,-0.6096,-1.57041670198011,0.61160923015268,0.0,0.0,0.0,1.607756365448,0.116
15.0,64.008,-0.56896,-0.6096,,,0.0,0.0,,1.59452617495651,
16.0,64.008,-0.56896,-0.5334,-1.57041670198011,0.61160923015268,0.0,0.0,0.0,1.58167947982636,0.116
17.0,64.008,-0.32512,-0.6858,,,0.0,0.0,,1.56729880325089,
18.0,64.008,0.16256,-0.7239,-1.57041670198011,0.61160923015268,0.0,0.0,0.0,1.5543562342804,0.116
19.0,64.008,0.08128,-0.3048,,,0.0,0.0,,1.54007143154526,
20.0,64.008,-0.24384,-0.1143,-1.57041670198011,0.61160923015268,0.0,0.0,0.0,1.5245402688858,0.116
21.0,64.008,0.4064,-0.0762,,,0.0,0.0,,1.51524077268982,
22.0,64.008,0.0,-0.0762,-1.57041349382505,0.61160923015268,0.0,0.0,0.0,1.49836750942383,0.116
23.0,64.3128,0.0,-0.1143,,,0.0,0.0,,1.48063138159485,
24.0,63.7032,-0.48768,-0.1143,-1.57041349382505,0.611606222507314,0.0,0.0,0.0,1.47324936220551,0.116
25.0,64.008,0.08128,-0.0762,,,0.0,0.0,,1.46222413688355,
26.0,64.008,-0.08128,-0.0762,-1.57041349382505,0.611606222507314,0.0,0.0,0.0,1.46337462296753,0.115
27.0,63.7032,-0.08128,-0.1524,,,0.0,0.0,,1.45359575756989,
28.0,64.008,0.16256,-0.3048,-1.57041349382505,0.611606222507314,0.0,0.0,0.0,1.45819756874771,0.115
29.0,63.7032,0.0,-0.2286,,,0.0,0.0,,1.44621373818054,
30.0,63.3984,-0.32512,-0.1905,-1.57041349382505,0.611606222507314,0.0,0.0,0.0,1.42291706077042,0.116
31.0,63.7032,-0.08128,-0.3429,,,0.0,0.0,,1.40719428358841,
32.0,63.7032,0.08128,-0.4191,-1.57041349382505,0.611606222507314,0.0,0.0,0.0,1.38600669750748,0.115
33.0,63.7032,-0.08128,-0.4572,,,0.0,0.0,,1.364052253862,
34.0,63.7032,0.0,-0.2667,-1.57041349382505,0.611606222507314,0.0,0.0,0.0,1.35839596359863,0.116
35.0,63.3984,-0.32512,-0.3048,,,0.0,0.0,,1.35657436063232,
36.0,63.3984,-0.24384,-0.6096,-1.57041349382505,0.611606222507314,0.0,0.0,0.0,1.35369827858047,0.116
37.0,63.3984,0.08128,-0.9144,,,0.0,0.0,,1.35465688382568,
38.0,63.0936,-0.24384,-0.8763,-1.57041349382505,0.611606222507314,0.0,0.0,0.0,1.33068922269135,0.116
39.0,63.7032,0.4064,-0.6858,,,0.0,0.0,,1.3100768796524,
40.0,63.7032,0.32512,-0.3048,-1.57041349382505,0.611606222507314,0.0,0.0,0.0,1.29243662566376,0.115
41.0,63.0936,-0.32512,-0.1905,,,0.0,0.0,,1.25734786536713,
42.0,63.0936,-0.32512,-0.0762,-1.57041349382505,0.611606222507314,0.0,0.0,0.0,1.23232559198914,0.115
43.0,63.3984,-0.08128,-0.0381,,,0.0,0.0,,1.20011291374435,
44.0,63.0936,-0.24384,-0.3048,-1.57041349382505,0.611606222507314,0.0,0.0,0.0,1.17211855131607,0.115
45.0,63.3984,0.16256,-0.8001,,,0.0,0.0,,1.14278208828125,
46.0,63.0936,-0.08128,-0.8382,-1.57041028566999,0.611606222507314,0.0,0.0,0.0,1.10069473737755,0.116
47.0,63.3984,0.0,-0.762,,,0.0,0.0,,1.07375498719292,
48.0,63.0936,-0.08128,-0.3048,-1.57041028566999,0.611606222507314,0.0,0.0,0.0,1.0346395921814,0.115
49.0,63.0936,-0.16256,-0.1524,,,0.0,0.0,,0.997249926295853,
50.0,63.0936,-0.08128,-0.2667,-1.57041028566999,0.611606222507314,0.0,0.0,0.0,0.964174450067139,0.116
51.0,63.3984,0.24384,-0.6858,,,0.0,0.0,,0.931003099998093,
52.0,63.3984,0.0,-0.4953,-1.57041028566999,0.61160923015268,0.0,0.0,0.0,0.908569287150955,0.115
53.0,63.3984,0.0,-0.1905,,,0.0,0.0,,0.877794716511154,
54.0,63.0936,-0.16256,-0.0381,-1.57041028566999,0.61160923015268,0.0,0.0,0.0,0.855648525185013,0.115
55.0,63.3984,-0.08128,0.0,,,0.0,0.0,,0.827462415076065,
56.0,63.3984,0.16256,0.0381,-1.57041028566999,0.61160923015268,0.0,0.0,0.0,0.806370835993576,0.116
57.0,63.7032,0.16256,0.0381,,,0.0,0.0,,0.778759968926621,
58.0,63.3984,0.08128,0.0,-1.57041028566999,0.61160923015268,0.0,0.0,0.0,0.746930786043167,0.116
59.0,63.0936,-0.08128,0.0,,,0.0,0.0,,0.709253498636627,
60.0,63.0936,-0.32512,-0.0381,-1.57041028566999,0.61160923015268,0.0,0.0,0.0,0.669371179481506,0.116
61.0,63.0936,-0.24384,-0.3048,,,0.0,0.0,,0.63092690135231,
62.0,63.3984,0.16256,-0.6858,-1.57041028566999,0.61160923015268,0.0,0.0,0.0,0.592961992424774,0.116
63.0,63.0936,0.0,-0.6096,,,0.0,0.0,,0.562954412507629,
64.0,63.0936,-0.16256,-0.5334,-1.57041028566999,0.61160923015268,0.0,0.0,0.0,0.540616440211296,0.115
65.0,63.0936,-0.24384,-0.4572,,,0.0,0.0,,0.520291818561936,
66.0,63.3984,0.16256,-0.3429,-1.57041028566999,0.61160923015268,0.0,0.0,0.0,0.502459816892624,0.116
67.0,63.0936,-0.24384,-0.4953,,,0.0,0.0,,0.476958107733917,
68.0,63.0936,0.0,-0.7239,-1.57041028566999,0.61160923015268,0.0,0.0,0.0,0.457879812719345,0.116
69.0,63.3984,0.08128,-0.762,,,0.0,0.0,,0.436308831145668,
70.0,63.0936,-0.24384,-0.6096,-1.57041028566999,0.611612237798047,0.0,0.0,0.0,0.404383807711411,0.116
71.0,63.0936,-0.16256,-0.2286,,,0.0,0.0,,0.372650498668289,
72.0,63.3984,0.24384,-0.1143,-1.57041028566999,0.611612237798047,0.0,0.0,0.0,0.338808031716919,0.116
73.0,63.0936,-0.24384,-0.3048,,,0.0,0.0,,0.311676567141151,
74.0,63.3984,-0.16256,-0.8001,-1.57041028566999,0.611612237798047,0.0,0.0,0.0,0.286174857982445,0.116
75.0,63.3984,0.0,-0.9144,,,0.0,0.0,,0.266713067606545,
76.0,63.3984,0.0,-0.9144,-1.57041028566999,0.611612237798047,0.0,0.0,0.0,0.239485712545681,0.115
77.0,63.3984,-0.16256,-0.9525,,,0.0,0.0,,0.2183940835289,
78.0,63.0936,-0.08128,-0.7239,-1.57041028566999,0.611612237798047,0.0,0.0,0.0,0.194234608134842,0.115
79.0,63.0936,-0.24384,-0.381,,,0.0,0.0,,0.183497054268169,
80.0,63.3984,0.16256,-0.6096,-1.57041028566999,0.611612237798047,0.0,0.0,0.0,0.168732932265663,0.116
81.0,63.0936,-0.32512,-0.6858,,,0.0,0.0,,0.164322852123737,
82.0,63.3984,-0.08128,-0.3429,-1.57041028566999,0.611612237798047,0.0,0.0,0.0,0.159625183750343,0.115
83.0,63.3984,-0.08128,-0.1143,,,0.0,0.0,,0.158091252239323,
84.0,63.3984,0.08128,0.0,-1.57041028566999,0.611612237798047,0.0,0.0,0.0,0.147257824532318,0.115
85.0,63.0936,-0.48768,0.0,,,0.0,0.0,,0.136328531307364,
86.0,63.3984,-0.08128,0.0381,-1.57041028566999,0.611612237798047,0.0,0.0,0.0,0.12750840431304,0.116
87.0,63.0936,-0.32512,0.0762,,,0.0,0.0,,0.110922720956135,
88.0,63.3984,0.32512,0.0762,-1.57041028566999,0.611612237798047,0.0,0.0,0.0,0.117729563882542,0.115
89.0,63.3984,0.0,0.1143,,,0.0,0.0,,0.103636525472832,
90.0,63.0936,-0.24384,0.1143,-1.57041028566999,0.611612237798047,0.0,0.0,0.0,0.120509822028351,0.115
91.0,63.3984,-0.08128,0.1143,,,0.0,0.0,,0.135753304910135,
92.0,63.3984,0.16256,0.0762,-1.57041028566999,0.611612237798047,0.0,0.0,0.0,0.164898078520966,0.116
93.0,63.3984,-0.16256,0.0381,,,0.0,0.0,,0.183784675789166,
94.0,63.3984,0.08128,0.0,-1.57041028566999,0.611612237798047,0.0,0.0,0.0,0.170937964014244,0.115
95.0,63.0936,-0.24384,-0.0381,,,0.0,0.0,,0.15646144688797,
96.0,63.3984,-0.08128,-0.0381,-1.57040761220745,0.611612237798047,0.0,0.0,0.0,0.155215120253181,0.115
97.0,63.3984,0.0,-0.0381,,,0.0,0.0,,0.165569178758526,
98.0,63.7032,0.0,-0.0381,-1.57040761220745,0.611612237798047,0.0,0.0,0.0,0.159049957353115,0.115
99.0,63.7032,0.24384,-0.0381,,,0.0,0.0,,0.163747625726509,
100.0,63.3984,-0.16256,-0.0381,-1.57040761220745,0.611612237798047,0.0,0.0,0.0,0.163939373407173,0.116
101.0,63.7032,0.16256,-0.0381,,,0.0,0.0,,0.171800795287704,
102.0,63.3984,0.08128,-0.0762,-1.57040761220745,0.611612237798047,0.0,0.0,0.0,0.170554468652916,0.116
103.0,63.7032,-0.16256,-0.0762,,,0.0,0.0,,0.1609673675807,
104.0,63.3984,0.08128,-0.1143,-1.57040761220745,0.611612237798047,0.0,0.0,0.0,0.154831624891853,0.116
105.0,63.3984,0.24384,-0.1143,,,0.0,0.0,,0.157899504558659,
106.0,63.3984,-0.08128,-0.1143,-1.57040761220745,0.611612237798047,0.0,0.0,0.0,0.161159115261364,0.115
107.0,63.3984,-0.08128,-0.1143,,,0.0,0.0,,0.159337562229347,
108.0,63.3984,-0.08128,-0.1143,-1.57040761220745,0.611612237798047,0.0,0.0,0.0,0.160008662466908,0.116
109.0,63.3984,-0.24384,-0.1143,,,0.0,0.0,,0.160008662466908,
110.0,63.7032,0.0,-0.1143,-1.57040761220745,0.611612237798047,0.0,0.0,0.0,0.161063241421032,0.116
111.0,63.3984,-0.24384,-0.1143,,,0.0,0.0,,0.159145831193447,
112.0,63.3984,-0.08128,-0.1143,-1.57040761220745,0.611612237798047,0.0,0.0,0.0,0.159721057590675,0.116
113.0,63.3984,-0.08128,-0.1143,,,0.0,0.0,,0.1609673675807,
114.0,63.3984,-0.08128,-0.1143,-1.57040761220745,0.611612237798047,0.0,0.0,0.0,0.155023372572517,0.116
115.0,63.3984,-0.48768,-0.1524,,,0.0,0.0,,0.16230956805582,
116.0,63.3984,0.0,-0.1143,-1.57040761220745,0.611612237798047,0.0,0.0,0.0,0.163172399329281,0.116
117.0,63.3984,-0.16256,-0.1143,,,0.0,0.0,,0.163268273169613,
118.0,63.3984,-0.08128,-0.1143,-1.57040761220745,0.611612237798047,0.0,0.0,0.0,0.157228404321098,0.115
119.0,63.3984,-0.08128,-0.1524,,,0.0,0.0,,0.163460020850277,
120.0,63.3984,0.0,-0.1143,-1.57040761220745,0.611612237798047,0.0,0.0,0.0,0.160488015023804,0.116
121.0,63.3984,0.0,-0.1524,,,0.0,0.0,,0.159433436069679,
122.0,63.3984,0.0,-0.1524,-1.57040761220745,0.611612237798047,0.0,0.0,0.0,0.159241705033779,0.115
123.0,63.3984,0.0,-0.1524,,,0.0,0.0,,0.163364147009945,
124.0,63.3984,0.0,-0.1524,-1.57040761220745,0.61160923015268,0.0,0.0,0.0,0.159816914786243,0.116
125.0,63.3984,0.0,-0.1524,,,0.0,0.0,,0.161350862942028,
126.0,63.3984,0.08128,-0.1524,-1.57040761220745,0.61160923015268,0.0,0.0,0.0,0.160392141183472,0.115
127.0,63.7032,0.08128,-0.1524,,,0.0,0.0,,0.161350862942028,
128.0,63.3984,0.0,-0.1524,-1.57040761220745,0.61160923015268,0.0,0.0,0.0,0.158954083512783,0.116
129.0,63.7032,0.0,-0.1524,,,0.0,0.0,,0.163172399329281,
130.0,63.7032,0.08128,-0.1524,-1.57040761220745,0.61160923015268,0.0,0.0,0.0,0.1609673675807,0.116
131.0,63.7032,0.0,-0.1524,,,0.0,0.0,,0.159145831193447,
132.0,63.7032,0.0,-0.1524,-1.57040761220745,0.61160923015268,0.0,0.0,0.0,0.162021963179588,0.116
133.0,63.7032,0.0,-0.1524,,,0.0,0.0,,0.161830215498924,
134.0,63.7032,0.08128,-0.1524,-1.57040761220745,0.61160923015268,0.0,0.0,0.0,0.159912788626575,0.116
135.0,63.7032,0.0,-0.1524,,,0.0,0.0,,0.161063241421032,
136.0,63.7032,-0.08128,-0.1524,-1.57040761220745,0.61160923015268,0.0,0.0,0.0,0.159529309910011,0.116
137.0,63.7032,-0.08128,-0.1524,,,0.0,0.0,,0.162213694215488,
138.0,63.7032,0.0,-0.1524,-1.57040761220745,0.61160923015268,0.0,0.0,0.0,0.158282983275223,0.115
139.0,63.7032,0.08128,-0.1524,,,0.0,0.0,,0.163364147009945,
