,rle,xup,zup,zxxup,xlo,zlo,zxxlo,alphate,betate,aoa,LperD
8040,0.01313091,0.40859425,0.0920434,-0.8442625,0.32505705,-0.06897355,0.3553165,-0.1590262,0.140098,2.7718,132.3529412
8041,0.01470501,0.43331125,0.0926146,-0.7253915,0.46826885,-0.04692575,0.4576649,-0.210197,0.1337476,2.1502,135.3916211
8042,0.01255905,0.40672975,0.092839,-0.6912585,0.48028195,-0.06867685,0.4215827,-0.2104782,0.1332324,2.1782,120.0527241
8043,0.01352943,0.45000925,0.1042834,-0.7146615,0.36903445,-0.06740955,0.4451755,-0.1545802,0.1631196,2.0238,125.6149733
8044,0.01618785,0.33691825,0.10202308,-0.7535795,0.42114555,-0.05509535,0.3525445,-0.1908018,0.1283884,0.7438,95.41329011
8045,0.01231929,0.38300275,0.09682516,-0.7035545,0.36158535,-0.06363985,0.4521671,-0.208753,0.1188908,0.4426,95.83623693
8046,0.01365687,0.33959125,0.12097876,-0.6244715,0.35989015,-0.04927865,0.3938935,-0.1802758,0.1674708,3.0038,100.3139535
8047,0.01506411,0.34934275,0.11137444,-0.7308435,0.39293025,-0.05375905,0.3103023,-0.157681,0.1663564,3.1846,127.0981508
8048,0.01274751,0.39806725,0.11800852,-0.6933465,0.33865125,-0.04973865,0.3978667,-0.164711,0.1320004,3.2466,139.7281831
8049,0.01554687,0.43611625,0.11604604,-0.6553565,0.43498425,-0.05697445,0.4028409,-0.1908474,0.1523676,0.829,107.3024055
8050,0.01212543,0.43712275,0.10251268,-0.8665055,0.44152055,-0.06709445,0.3580577,-0.1735498,0.1340724,2.9038,136.5719361
8051,0.01358505,0.46591525,0.11791876,-0.7615545,0.40787735,-0.06652405,0.4042577,-0.1723794,0.1296708,1.727,123.686067
8052,0.01481733,0.45248425,0.12055444,-0.7406455,0.32644255,-0.06148015,0.3140753,-0.1810282,0.1356684,2.2082,134.7420965
8053,0.01136673,0.47550175,0.10553596,-0.6520505,0.34919735,-0.06334085,0.3170937,-0.1528778,0.1167796,0.7654,105.1886792
8054,0.01532439,0.38595625,0.11733124,-0.7092385,0.47271875,-0.05970915,0.4156691,-0.1609186,0.1566012,2.0806,115.96875
8055,0.01306071,0.43497775,0.09232492,-0.6839505,0.37048515,-0.05890875,0.4198425,-0.1676218,0.155806,0.3738,94.68451243
8056,0.01424061,0.33647275,0.12059116,-0.6746705,0.38895305,-0.06175615,0.4217829,-0.183977,0.1651244,0.3278,74.04166667
8057,0.01316169,0.43930075,0.10871428,-0.8443785,0.46150435,-0.04765025,0.3189879,-0.1823354,0.1221668,0.0038,72.3088685
8058,0.01510947,0.36861475,0.10626628,-0.8269205,0.39330515,-0.05562895,0.3167549,-0.212591,0.1474396,0.2846,92.7008547
8059,0.01391877,0.43875625,0.11241484,-0.8684775,0.35325605,-0.06124555,0.4157307,-0.1783606,0.1652476,3.3054,150.3465347
8060,0.01522503,0.36419275,0.08934652,-0.6436695,0.37798315,-0.06579955,0.4299757,-0.1677966,0.1602188,3.4878,135.25
8061,0.01279341,0.33048325,0.1141774,-0.8600385,0.42471525,-0.06369735,0.4578189,-0.1588362,0.1395212,2.1058,108.7900875
8062,0.01347759,0.48064975,0.08362636,-0.7190405,0.38818695,-0.06825365,0.3963575,-0.2095054,0.1210412,1.5846,119.2885375
8063,0.01102491,0.43997725,0.1054258,-0.7827245,0.37112085,-0.06209425,0.3559017,-0.220685,0.1331036,1.9974,129.7038328
8064,0.01244241,0.47629375,0.11175796,-0.6968845,0.43118635,-0.06593525,0.3884111,-0.165889,0.1335572,3.2974,147.2419628
8065,0.01329993,0.43458175,0.10770244,-0.8364035,0.40950735,-0.06069815,0.3368365,-0.217759,0.1163708,1.4366,119.8375451
8066,0.01284633,0.48150775,0.09997084,-0.6806445,0.41985785,-0.05094385,0.3556399,-0.159011,0.1468796,2.353,139.7785978
8067,0.01280691,0.44448175,0.11707012,-0.6612145,0.39721715,-0.05116925,0.3140291,-0.1924662,0.1123836,1.1406,116.9830508
8068,0.01503063,0.48889975,0.09055828,-0.7016985,0.44831765,-0.05708255,0.4468849,-0.1837946,0.1406076,1.9202,130.7602339
8069,0.01572507,0.33436075,0.111913,-0.8262535,0.38062375,-0.04732365,0.3745973,-0.1638978,0.1546748,1.1118,105.6528418
8070,0.01166427,0.49241425,0.09403852,-0.8387525,0.43185465,-0.04695795,0.3320163,-0.1814234,0.1150716,1.1694,118.935743
8071,0.01123767,0.41265325,0.11541364,-0.7768955,0.46362335,-0.05540815,0.3675903,-0.209323,0.1181628,3.9654,148.8130564
8072,0.01451115,0.38763925,0.09031756,-0.8202795,0.36223735,-0.05718375,0.3866247,-0.1916226,0.1320844,3.8958,150.35313
8073,0.01261467,0.47305975,0.11251276,-0.7333375,0.47989075,-0.06786035,0.3492027,-0.1708594,0.1677844,3.129,141.6782007
8074,0.01461267,0.42938425,0.093349,-0.6649265,0.36344355,-0.05418685,0.3232845,-0.1989566,0.1585164,0.811,107.7695167
8075,0.01333071,0.48693625,0.08856724,-0.7054395,0.41698905,-0.05220195,0.3456761,-0.1750622,0.1136548,0.7086,105.3441296
8076,0.01242513,0.48526975,0.09080716,-0.6169025,0.33666265,-0.04784805,0.3428117,-0.1946702,0.1475124,1.1954,125.8925144
8077,0.01488537,0.36831775,0.10678444,-0.7119935,0.35100665,-0.06834105,0.4231073,-0.216125,0.1311996,1.9114,117.189441
8078,0.01177389,0.32913025,0.08499316,-0.6417265,0.44730705,-0.06412055,0.4599287,-0.1656154,0.1649844,0.1422,74.0443686
8079,0.01467315,0.48276175,0.09571948,-0.8398255,0.39385935,-0.05665475,0.3145373,-0.2174246,0.1413804,3.5726,156.71875
8080,0.01430649,0.38292025,0.120991,-0.8263115,0.32572535,-0.05241815,0.4209359,-0.1787786,0.1190476,1.349,117.9503106
8081,0.01400085,0.48401575,0.08616004,-0.6183235,0.37421785,-0.06047045,0.3818969,-0.1641258,0.1604484,1.9922,127.8053435
8082,0.01262169,0.35694925,0.09070924,-0.8377665,0.36243295,-0.05160625,0.3149685,-0.2082666,0.1508332,2.2074,126.4983165
8083,0.01162161,0.45484375,0.11473228,-0.8698695,0.48251505,-0.06426775,0.4147913,-0.185953,0.1670788,0.7734,101.3543599
8084,0.01482003,0.48731575,0.08649868,-0.7875965,0.36331315,-0.06580185,0.4605755,-0.2081222,0.12593,1.493,121.6895874
8085,0.01364337,0.37953775,0.11073388,-0.7677315,0.43115375,-0.05332435,0.4610837,-0.1985006,0.1493884,0.905,105.4098361
8086,0.01538541,0.42337825,0.08372836,-0.6233405,0.33113695,-0.05387175,0.3645565,-0.2166114,0.1363124,3.9886,150.0612557
8087,0.01464777,0.41184475,0.11435692,-0.8089985,0.39773875,-0.05354055,0.3258563,-0.1908702,0.1139012,2.321,132.9016393
8088,0.01268325,0.39461875,0.09882028,-0.8277615,0.47002925,-0.04926485,0.4516281,-0.221863,0.1547532,1.5842,120.2982456
8089,0.01142289,0.35889625,0.1089142,-0.8544415,0.42297115,-0.04670265,0.3232691,-0.2080994,0.1591324,3.0954,134.9037037
8090,0.01286847,0.46121275,0.08779612,-0.8637505,0.38085195,-0.06373645,0.3889501,-0.1559634,0.160034,3.2338,142.8519196
8091,0.01303749,0.48442825,0.10141108,-0.7251595,0.34678495,-0.06002195,0.3868865,-0.1849346,0.1456308,2.3758,142.7007299
8092,0.01424547,0.34922725,0.09597244,-0.8197865,0.45165915,-0.05802095,0.3257639,-0.2002942,0.1127868,2.331,121.369637
8093,0.01137483,0.39529525,0.11261884,-0.8290955,0.37865145,-0.05665015,0.3599519,-0.1627046,0.131866,3.9574,147.102526
8094,0.01233873,0.48883375,0.10196188,-0.7821445,0.42804045,-0.05500565,0.4067063,-0.1762782,0.1150268,2.3738,142.7767355
8095,0.01250505,0.35901175,0.10247188,-0.8669405,0.42616595,-0.05482165,0.4413409,-0.2173866,0.1208564,1.3618,112.7121464
8096,0.01228797,0.35741125,0.12063604,-0.6633315,0.48680195,-0.06504975,0.3222527,-0.2179794,0.1240372,0.2582,73.99103139
8097,0.01082835,0.41032675,0.09050524,-0.6224705,0.44241705,-0.05459625,0.3324783,-0.218557,0.1577716,2.5778,131.7905405
8098,0.01133649,0.39526225,0.11664988,-0.6471785,0.40437285,-0.05041945,0.3489101,-0.1759818,0.1358308,2.8854,129.7391304
8099,0.01606041,0.37493425,0.11388364,-0.8573995,0.47809775,-0.06312695,0.3300605,-0.2055154,0.138334,0.6546,93.4923339
8100,0.01339281,0.41705875,0.11217004,-0.7971955,0.38551375,-0.05692615,0.3342185,-0.2048618,0.1447404,2.4562,134.4844517
8101,0.01515753,0.33266125,0.08705356,-0.7070635,0.40359045,-0.06561785,0.3462613,-0.180975,0.119406,2.897,123.7420382
8102,0.01389771,0.39521275,0.10289212,-0.8498885,0.33643445,-0.05194205,0.4619923,-0.2114358,0.119182,0.9994,116.9337979
