,M,Vf,DC
195,0.603,0.896,-0.062938876
196,0.9,1,-0.003027024
197,0.825,0.6,-0.001433281
198,0.718,0.576,-0.037429687
199,0.686,1.13,-0.032144304
200,0.9,1.5,-0.026606019
201,0.84375,0.95,0.051218584
202,0.85,0.8,0.03734943
203,0.689,0.96,-0.023990072
204,0.656,0.8,-0.032563391
205,0.685,1.568,0.009181523
206,0.838,0.8,0.032051352
207,0.801,1.65,0.083139391
208,0.89,1.6,0.009247035
209,0.725,1.3,0.01126132
210,0.625,0.8,-0.051900412
211,0.882,1.344,0.047676151
212,0.825,1.6,0.070972584
213,0.7,1.5,0.011423272
214,0.825,0.5,-0.012234885
215,0.86,1.3,0.065216047
216,0.688,0.907,-0.022294027
217,0.8,0.6,-0.021358645
218,0.89,1.9,-0.091012401
219,0.681,0.768,-0.019743951
220,0.802,1.376,0.054337606
221,0.775,0.5,-0.028699208
222,0.646,1.33,-0.026365724
223,0.7625,1.8,0.097361919
224,0.7875,1.4,0.053259963
225,0.858,1.568,0.056234172
226,0.613,1.912,0.021657437
227,0.87,0.8,0.035556508
228,0.669,1.024,-0.044649916
229,0.9,1.6,-0.039136118
230,0.814,0.512,-0.016570171
231,0.621,1.536,-0.01293626
232,0.7,1.1,-0.016899074
233,0.671,1.696,0.017647365
234,0.65,0.4,-0.033173269
235,0.9,0.5,-0.007642117
236,0.7,0.7,-0.026288975
237,0.77,0.4,-0.03537192
238,0.758,0.672,-0.026282917
239,0.86,0.6,0.009018891
240,0.89,1.7,-0.008521308
241,0.884,0.747,0.018065581
242,0.7625,0.5,-0.032590354
243,0.67,0.73,-0.022562031
244,0.85,0.4,-0.012489236
245,0.738,1.632,0.053703629
246,0.762,1.888,0.07686547
247,0.89,0.4,-0.006171506
248,0.676,0.416,-0.03534163
249,0.633,1.952,0.038004144
250,0.77,1.4,0.042928551
251,0.87,2,-0.016285101
252,0.85,0.6,0.009381881
253,0.88,1.9,-0.02337801
254,0.89,1,0.028847923
255,0.9,1.2,-0.005801377
256,0.775,1.6,0.07743715
257,0.86,0.4,-0.020140084
258,0.61,0.65,-0.039167134
259,0.61,1.65,-0.007062607
260,0.85,1.8,0.048089883
261,0.615,0.832,-0.066491219
262,0.89,1.3,0.029657807
263,0.639,0.48,-0.055432018
264,0.725,1.2,0.00427008
265,0.719,1.76,0.062948107
266,0.9,0.8,0.000631077
267,0.782,1.92,0.089976337
268,0.825,2,0.068476308
269,0.775,1,0.003980434
270,0.7,1.7,0.037350587
271,0.637,1.248,-0.031525185
272,0.635,1.728,0.004877894
273,0.63,1.2,-0.033083362
274,0.67,0.9,-0.032222665
275,0.88,0.5,-0.002677752
276,0.725,0.9,-0.005643571
277,0.781,1.12,0.019144054
278,0.607,0.704,-0.046450513
279,0.85,0.5,-0.000767887
280,0.85,1.5,0.061934479
281,0.77,2,0.074220998
282,0.774,1.216,0.026758617
