,rle,xup,zup,zxxup,xlo,zlo,zxxlo,alphate,betate,aoa,LperD
40,0.01562679,0.42377425,0.08429956,-0.7329315,0.43736405,-0.06872515,0.3873639,-0.2214602,0.1453396,0.0234,77.30693069
41,0.01153683,0.43456525,0.08481364,-0.7133565,0.44779605,-0.06538555,0.3589355,-0.1988426,0.1295532,2.1874,124.1242938
42,0.01302129,0.46961125,0.11051356,-0.7895685,0.47068125,-0.04983525,0.3997609,-0.2122262,0.1645084,2.1306,138.7971275
43,0.01343115,0.48094675,0.1081186,-0.8426385,0.39747795,-0.06312925,0.4070913,-0.1909538,0.1264452,3.8866,162.2165821
44,0.01326483,0.46329175,0.12353284,-0.5939055,0.34451925,-0.06439425,0.3421341,-0.211907,0.143682,0.7182,109.0100671
45,0.01307421,0.37016575,0.09443836,-0.6506005,0.40512265,-0.06199765,0.3956491,-0.2051506,0.1652644,2.173,118.5691318
46,0.01551771,0.44085175,0.1100362,-0.6903015,0.38182995,-0.04664515,0.3273193,-0.1605842,0.1403276,2.9738,146.9572368
47,0.01473849,0.34335325,0.09174556,-0.6590975,0.32878975,-0.06209655,0.4316851,-0.1813018,0.1237236,0.7462,97.11442786
48,0.01220913,0.46938025,0.0849646,-0.8530495,0.34600255,-0.06483815,0.3831443,-0.1636546,0.1289876,3.2542,144.1970803
49,0.01283283,0.36585925,0.09631516,-0.7210705,0.38606795,-0.05285975,0.3734115,-0.2007578,0.1316196,2.0818,122.6935484
50,0.01569267,0.40275325,0.10317772,-0.5817255,0.46438945,-0.05300695,0.4613917,-0.1784214,0.1397172,2.4526,127.900641
51,0.01150875,0.37311925,0.089167,-0.7536085,0.47881495,-0.06808575,0.4604985,-0.2172954,0.1522164,1.133,98.28571429
52,0.01543239,0.43529125,0.0967354,-0.6119435,0.34145485,-0.04879795,0.3959263,-0.1578254,0.1434468,1.477,124.3548387
53,0.01320057,0.37930675,0.11199868,-0.7046565,0.46859485,-0.05485845,0.3374987,-0.2085098,0.1385468,3.6178,136.8975469
54,0.01417635,0.45779725,0.11143972,-0.6106095,0.40525305,-0.05038955,0.3422265,-0.191729,0.119742,3.3006,149.9207607
55,0.01543671,0.33782575,0.08672308,-0.5946885,0.32890385,-0.05878225,0.4068295,-0.1887954,0.1579228,2.2062,119.65625
56,0.01422603,0.42694225,0.10970572,-0.7265515,0.39884715,-0.05841655,0.3285975,-0.2184202,0.1646708,1.1326,113.7172775
57,0.01288251,0.40265425,0.09131716,-0.6174245,0.32541565,-0.06581335,0.4353965,-0.197429,0.1529556,0.1306,88.5198556
58,0.01612305,0.48569875,0.09835516,-0.5967475,0.42326455,-0.06199305,0.3239005,-0.1600902,0.1289428,2.889,141.5921288
59,0.01205793,0.46802725,0.09376108,-0.8118405,0.34042795,-0.06743485,0.3905979,-0.2062678,0.132034,3.1234,148.5892857
60,0.01181331,0.43380625,0.1167478,-0.8311255,0.33252245,-0.06098795,0.3258101,-0.2058194,0.1625988,1.5066,121.4455782
61,0.01558521,0.38760625,0.09778396,-0.6236595,0.46962175,-0.05838205,0.3244549,-0.190513,0.152698,0.621,91.24125874
62,0.01243647,0.34039975,0.1036714,-0.6183525,0.35659755,-0.04642205,0.3580423,-0.1684198,0.112882,0.2366,90.84355828
63,0.01421955,0.46578325,0.10244332,-0.5863075,0.34269365,-0.06754525,0.3673747,-0.185877,0.1181964,3.6102,151.4006515
64,0.01456731,0.46340725,0.10092148,-0.6184105,0.44513915,-0.06678165,0.3635247,-0.2159046,0.1573348,1.039,108.5820896
65,0.01238193,0.41361025,0.106405,-0.6501945,0.32745315,-0.05373145,0.4115727,-0.1819326,0.11781,1.869,127.1056911
66,0.01615491,0.47253175,0.09495244,-0.7649765,0.35371245,-0.05360725,0.3372061,-0.1526954,0.1127756,1.267,119.56778
67,0.01254231,0.34059775,0.08509924,-0.7195625,0.37011025,-0.05901685,0.3105179,-0.193325,0.1244236,2.361,120.3104575
68,0.01474281,0.44835925,0.09006868,-0.7408485,0.44357435,-0.05956425,0.3419185,-0.1937506,0.1662892,1.8134,122.1346154
69,0.01517751,0.40875925,0.08348764,-0.6422775,0.44033065,-0.05887655,0.3366363,-0.1851626,0.1478652,3.243,136.8430034
70,0.01355589,0.38623675,0.08400988,-0.7983845,0.38376965,-0.05550015,0.3518361,-0.1669986,0.136346,3.4846,142.6485569
71,0.01096065,0.41062375,0.1112398,-0.6162935,0.33892835,-0.06516475,0.4200427,-0.194009,0.1280412,1.5242,113.866878
72,0.01617813,0.44999275,0.0863926,-0.8180465,0.37566855,-0.04995715,0.3169397,-0.1880278,0.1223852,2.2186,135.370019
73,0.01408671,0.35310475,0.1189102,-0.7233905,0.47935285,-0.05996675,0.3151225,-0.1717486,0.1457708,3.3626,118.5773481
74,0.01352025,0.48990625,0.10802068,-0.7866685,0.38663845,-0.05098755,0.3770151,-0.1680626,0.1263388,3.3002,160.8626761
75,0.01351593,0.33394825,0.09392836,-0.7562475,0.41843975,-0.04886005,0.4426653,-0.1576886,0.1279628,3.829,140.8541973
76,0.01544859,0.45811075,0.11502196,-0.7783455,0.39592945,-0.05285285,0.3303993,-0.2029998,0.1244796,3.789,161.2520064
77,0.01511433,0.34153825,0.1181146,-0.8663605,0.41571765,-0.06225755,0.3369135,-0.1619902,0.1297156,3.9282,133.0357143
78,0.01546911,0.43286575,0.09469132,-0.6076805,0.44856215,-0.06806275,0.3235309,-0.1847066,0.134946,0.2318,83.23754789
79,0.01154979,0.46495825,0.09238204,-0.8309805,0.38315025,-0.05130495,0.3453219,-0.1780946,0.1643684,2.8346,146.8139963
80,0.01338093,0.34261075,0.11422228,-0.6319535,0.35473935,-0.04840465,0.4059363,-0.212287,0.1309644,0.9758,99.85895628
81,0.01574613,0.33370075,0.10879996,-0.7537825,0.37975985,-0.04906475,0.3148145,-0.1720678,0.1615908,3.5738,133.2827586
82,0.01241325,0.39575725,0.11240668,-0.6019095,0.37281605,-0.04617595,0.3531913,-0.1929982,0.1460844,2.317,126.908284
83,0.01305369,0.45324325,0.0931654,-0.8070845,0.48051015,-0.05779095,0.4557091,-0.2108886,0.1374212,3.7802,153.3503401
84,0.01334799,0.35551375,0.10274932,-0.6088405,0.46554675,-0.04711205,0.4618845,-0.2143998,0.1383452,3.6702,135.4344828
85,0.01499985,0.44334325,0.11359804,-0.7671805,0.37692365,-0.04661755,0.4461457,-0.177935,0.1176812,1.9638,137.2866894
86,0.01309311,0.42676075,0.09513196,-0.6460475,0.43995575,-0.05905825,0.4172553,-0.174743,0.1526476,1.8546,120.2504472
87,0.01118961,0.33520225,0.12008116,-0.8058665,0.39074605,-0.05905595,0.3747205,-0.1894794,0.1453004,3.6622,113.7515528
88,0.01405755,0.48210175,0.0869842,-0.6553855,0.36494315,-0.05865805,0.3132437,-0.1978622,0.1512252,0.8618,109.2231076
89,0.01368171,0.46951225,0.10413244,-0.6755985,0.43275115,-0.06630785,0.3995607,-0.2237934,0.1357692,3.3774,151.8644068
90,0.01465425,0.33361825,0.1226842,-0.7145455,0.47348485,-0.04987665,0.3899203,-0.200165,0.1588804,3.2982,102.3747017
91,0.01470231,0.36239425,0.10949764,-0.7511435,0.45288165,-0.04850355,0.4384457,-0.2253818,0.1641948,2.8158,131.3696613
92,0.01288413,0.45923275,0.11937124,-0.5972405,0.39138175,-0.05745515,0.3922457,-0.2243786,0.119658,3.723,151.5169367
93,0.01502253,0.32998825,0.09580516,-0.5936445,0.36350875,-0.05144065,0.3988831,-0.1783682,0.1639876,2.6102,122.005772
94,0.01524987,0.42639775,0.0929002,-0.7499835,0.43643495,-0.06175155,0.4100327,-0.2274186,0.1515332,1.9758,126.691042
95,0.01171287,0.37394425,0.09829396,-0.6903305,0.36212325,-0.06841695,0.3819585,-0.2041246,0.137382,3.5834,137.0870871
96,0.01471203,0.34866625,0.1145242,-0.8326045,0.44647575,-0.06012775,0.3149839,-0.1896998,0.1203524,0.785,94.32907348
97,0.01356831,0.43852525,0.1203382,-0.7634395,0.41310965,-0.05482395,0.3219447,-0.2154714,0.1229172,3.7806,153.2526475
98,0.01486107,0.47553475,0.123235,-0.8062145,0.46303655,-0.05220425,0.3812193,-0.2006742,0.119798,2.7686,149.744898
99,0.01211193,0.41593675,0.08334484,-0.7377455,0.42168345,-0.05055975,0.3417183,-0.1938038,0.1621116,2.1598,127.9704797
100,0.01392039,0.42407125,0.11486692,-0.7309015,0.34583955,-0.05239515,0.4255251,-0.1855274,0.1150212,1.9326,131.9902121
101,0.01539837,0.40138375,0.10219852,-0.6798615,0.38590495,-0.04951325,0.3785397,-0.2255642,0.1581804,0.4918,104.4117647
102,0.01332477,0.35493625,0.11377756,-0.6124075,0.34691535,-0.05136475,0.4044271,-0.166117,0.140294,3.2682,125.4376658
103,0.01380051,0.42235525,0.11357356,-0.5881925,0.42160195,-0.05166835,0.3590895,-0.224675,0.1559348,1.863,123.6535433
104,0.01516509,0.40745575,0.09512788,-0.7421825,0.32665445,-0.04671875,0.4448367,-0.2061614,0.124894,3.2578,154.3111831
105,0.01599507,0.35194975,0.09256972,-0.7533185,0.37059925,-0.05727575,0.4084311,-0.166003,0.1537676,0.2314,85.63157895
106,0.01170855,0.38791975,0.09924052,-0.8531365,0.35293005,-0.04865765,0.3804801,-0.1958178,0.126098,0.8818,110.5132743
107,0.01441071,0.45622975,0.08412004,-0.7645125,0.45997215,-0.06521075,0.3581039,-0.2201986,0.1186836,1.623,116.2252964
108,0.01483137,0.39882625,0.1166458,-0.8180755,0.35276705,-0.05972065,0.4355813,-0.1778894,0.143178,3.3886,144.5468278
109,0.01158543,0.35944075,0.1163194,-0.7648605,0.43958085,-0.06457365,0.4550777,-0.2082286,0.1451268,2.8526,120.6364922
110,0.01131435,0.43151275,0.11543404,-0.7851315,0.42639415,-0.04794465,0.4544617,-0.179569,0.1248212,2.6194,140.6818182
111,0.01261413,0.41583775,0.09811036,-0.6431765,0.35403845,-0.05689625,0.3423651,-0.1654862,0.1422484,3.439,144.448
112,0.01395441,0.35917675,0.10561756,-0.7588865,0.41786925,-0.06441495,0.3256407,-0.2086618,0.1443092,3.7542,136.9635036
113,0.01537677,0.38422375,0.0908194,-0.8004725,0.35323975,-0.06366745,0.3920147,-0.213921,0.1325268,3.7046,147.7133655
114,0.01298025,0.36552925,0.10964044,-0.7450535,0.38354145,-0.06081085,0.3282433,-0.2006438,0.1182524,0.9594,101.152
115,0.01583145,0.47170675,0.10636828,-0.7690945,0.47159405,-0.06588235,0.3447521,-0.2208902,0.1229284,3.461,153.2638889
116,0.01210815,0.34792375,0.11043196,-0.7675865,0.42624745,-0.05377975,0.3158925,-0.2205558,0.1469916,0.4922,91.84087363
117,0.01476171,0.43166125,0.09494836,-0.8613725,0.44781235,-0.06555575,0.3308459,-0.217379,0.1228668,2.907,140.4
